weather_key,date_key,region,avg_temperature_c,precipitation_mm,weather_condition
100,20260322,North,29.7,0.0,Sunny
101,20260323,South,28.5,0.0,Rainy
102,20260323,West,31.3,0.0,Rainy
103,20260323,East,32.2,0.0,Sunny
104,20260323,North,30.7,0.0,Overcast
105,20260324,South,34.4,0.05,Rainy
106,20260324,West,28.8,0.0,Rainy
107,20260324,East,31.7,0.0,Sunny
108,20260324,North,28.5,4.29,Overcast
109,20260325,South,30.8,0.89,Sunny
110,20260325,West,27.5,0.44,Sunny
111,20260325,East,22.0,0.0,Rainy
112,20260325,North,31.8,0.0,Sunny
113,20260326,South,26.0,0.0,Rainy
114,20260326,West,27.4,0.0,Sunny
115,20260326,East,35.6,0.0,Rainy
116,20260326,North,23.2,0.0,Rainy
117,20260327,South,28.2,0.0,Overcast
118,20260327,West,30.6,0.0,Overcast
119,20260327,East,33.1,0.0,Rainy
120,20260327,North,26.1,0.0,Sunny
121,20260328,South,29.5,0.0,Sunny
122,20260328,West,30.3,0.0,Sunny
123,20260328,East,26.4,0.0,Sunny
124,20260328,North,30.0,0.0,Sunny
125,20260329,South,32.5,0.0,Rainy
126,20260329,West,33.7,0.0,Sunny
127,20260329,East,30.1,0.0,Sunny
128,20260329,North,33.2,0.0,Overcast
129,20260330,South,26.1,0.0,Overcast
130,20260330,West,25.3,3.17,Sunny
131,20260330,East,35.0,0.0,Sunny
132,20260330,North,29.8,4.91,Sunny
133,20260331,South,27.2,0.0,Overcast
134,20260331,West,23.3,0.0,Rainy
135,20260331,East,35.8,0.0,Overcast
136,20260331,North,31.8,1.49,Overcast
137,20260401,South,29.4,0.0,Overcast
138,20260401,West,30.8,0.0,Sunny
139,20260401,East,27.8,0.0,Rainy
140,20260401,North,34.2,0.0,Sunny
141,20260402,South,29.2,8.42,Rainy
142,20260402,West,33.8,0.0,Sunny
143,20260402,East,26.3,0.68,Rainy
144,20260402,North,31.2,0.0,Rainy
145,20260403,South,34.0,0.0,Rainy
146,20260403,West,34.0,0.0,Sunny
147,20260403,East,35.3,0.12,Rainy
148,20260403,North,27.6,0.17,Sunny
149,20260404,South,30.9,0.0,Sunny
150,20260404,West,32.3,0.0,Rainy
151,20260404,East,30.6,0.0,Rainy
152,20260404,North,29.7,0.0,Overcast
153,20260405,South,26.4,0.0,Rainy
154,20260405,West,25.8,0.56,Sunny
155,20260405,East,27.7,0.0,Rainy
156,20260405,North,33.2,0.0,Sunny
157,20260406,South,34.0,0.0,Overcast
158,20260406,West,28.6,0.0,Overcast
159,20260406,East,31.9,0.0,Rainy
160,20260406,North,35.3,0.0,Rainy
161,20260407,South,33.5,0.0,Rainy
162,20260407,West,31.4,0.0,Overcast
163,20260407,East,29.0,0.0,Overcast
164,20260407,North,30.8,0.1,Sunny
165,20260408,South,33.6,0.0,Overcast
166,20260408,West,23.4,0.0,Overcast
167,20260408,East,28.8,0.0,Overcast
168,20260408,North,34.1,0.29,Rainy
169,20260409,South,32.7,0.0,Overcast
170,20260409,West,27.9,0.26,Sunny
171,20260409,East,27.7,0.0,Overcast
172,20260409,North,35.6,0.0,Rainy
173,20260410,South,34.6,0.0,Overcast
174,20260410,West,28.0,0.0,Overcast
175,20260410,East,23.4,0.0,Rainy
176,20260410,North,30.7,0.0,Rainy
177,20260411,South,33.4,0.0,Overcast
178,20260411,West,34.8,0.0,Rainy
179,20260411,East,27.4,0.0,Overcast
180,20260411,North,23.8,0.0,Overcast
181,20260412,South,28.2,0.0,Overcast
182,20260412,West,25.3,0.0,Rainy
183,20260412,East,35.6,2.55,Rainy
184,20260412,North,33.1,1.23,Overcast
185,20260413,South,28.8,3.68,Sunny
186,20260413,West,28.6,0.0,Overcast
187,20260413,East,31.0,0.0,Overcast
188,20260413,North,29.2,0.35,Sunny
189,20260414,South,27.9,0.0,Overcast
190,20260414,West,31.5,0.0,Rainy
191,20260414,East,30.0,0.0,Sunny
192,20260414,North,30.7,0.0,Overcast
193,20260415,South,33.2,0.0,Sunny
194,20260415,West,26.5,0.0,Sunny
195,20260415,East,31.6,0.0,Overcast
196,20260415,North,33.8,0.0,Sunny
197,20260416,South,26.1,0.0,Sunny
198,20260416,West,22.9,0.0,Overcast
199,20260416,East,24.2,0.0,Sunny
200,20260416,North,27.7,0.0,Sunny
201,20260417,South,26.3,4.27,Rainy
202,20260417,West,30.3,0.0,Rainy
203,20260417,East,29.7,0.0,Overcast
204,20260417,North,30.1,0.0,Sunny
205,20260418,South,25.2,0.14,Rainy
206,20260418,West,33.2,0.0,Overcast
207,20260418,East,29.8,0.0,Overcast
208,20260418,North,26.1,0.0,Rainy
209,20260419,South,26.8,2.58,Sunny
210,20260419,West,30.5,0.0,Rainy
211,20260419,East,22.1,0.2,Sunny
212,20260419,North,24.1,0.0,Rainy
213,20260420,South,27.4,0.0,Rainy
214,20260420,West,35.5,0.0,Sunny
215,20260420,East,35.0,0.0,Overcast
216,20260420,North,35.0,0.0,Rainy
217,20260421,South,32.6,0.0,Overcast
218,20260421,West,25.6,0.0,Overcast
219,20260421,East,29.0,0.0,Overcast
220,20260421,North,27.6,1.2,Rainy
221,20260422,South,32.9,0.0,Sunny
222,20260422,West,28.2,0.0,Rainy
223,20260422,East,35.2,0.0,Rainy
224,20260422,North,28.7,0.0,Sunny
225,20260423,South,33.5,0.0,Overcast
226,20260423,West,34.0,0.0,Sunny
227,20260423,East,31.3,0.0,Rainy
228,20260423,North,23.3,0.0,Overcast
229,20260424,South,26.4,0.0,Rainy
230,20260424,West,34.5,4.45,Overcast
231,20260424,East,24.0,0.0,Rainy
232,20260424,North,30.7,0.0,Rainy
233,20260425,South,26.6,0.0,Rainy
234,20260425,West,29.5,0.0,Rainy
235,20260425,East,23.7,0.0,Rainy
236,20260425,North,22.1,0.0,Overcast
237,20260426,South,28.4,0.0,Overcast
238,20260426,West,23.0,0.0,Overcast
239,20260426,East,22.9,3.74,Rainy
240,20260426,North,35.0,0.0,Rainy
241,20260427,South,27.9,0.0,Overcast
242,20260427,West,23.6,0.0,Overcast
243,20260427,East,35.5,0.0,Sunny
244,20260427,North,33.2,0.0,Sunny
245,20260428,South,28.8,0.8,Rainy
246,20260428,West,32.0,0.0,Sunny
247,20260428,East,25.1,0.0,Overcast
248,20260428,North,32.8,0.0,Overcast
249,20260429,South,27.7,3.17,Rainy
250,20260429,West,25.9,1.58,Rainy
251,20260429,East,25.0,0.0,Overcast
252,20260429,North,29.8,3.71,Rainy
253,20260430,South,35.6,0.0,Rainy
254,20260430,West,26.4,0.0,Rainy
255,20260430,East,26.4,0.0,Rainy
256,20260430,North,31.1,3.86,Overcast
257,20260501,South,29.4,0.0,Sunny
258,20260501,West,28.3,0.0,Rainy
259,20260501,East,27.4,0.0,Overcast
260,20260501,North,23.7,0.0,Overcast
261,20260502,South,32.7,0.1,Rainy
262,20260502,West,29.9,0.0,Rainy
263,20260502,East,27.8,0.0,Overcast
264,20260502,North,22.2,0.0,Sunny
265,20260503,South,28.3,0.0,Rainy
266,20260503,West,26.0,0.0,Sunny
267,20260503,East,27.2,2.43,Overcast
268,20260503,North,22.4,0.0,Sunny
269,20260504,South,24.2,0.0,Overcast
270,20260504,West,25.7,0.0,Rainy
271,20260504,East,27.2,0.0,Overcast
272,20260504,North,34.6,0.0,Rainy
273,20260505,South,25.9,0.0,Rainy
274,20260505,West,33.4,0.0,Overcast
275,20260505,East,35.3,0.0,Overcast
276,20260505,North,24.9,0.0,Rainy
277,20260506,South,30.1,0.95,Rainy
278,20260506,West,34.6,0.0,Sunny
279,20260506,East,22.4,0.0,Rainy
280,20260506,North,23.8,0.0,Sunny
281,20260507,South,25.7,0.0,Sunny
282,20260507,West,31.3,0.0,Overcast
283,20260507,East,27.5,0.0,Overcast
284,20260507,North,25.7,0.0,Sunny
285,20260508,South,24.8,0.0,Rainy
286,20260508,West,29.1,0.0,Overcast
287,20260508,East,25.4,0.0,Overcast
288,20260508,North,34.2,0.0,Rainy
289,20260509,South,24.7,0.0,Overcast
290,20260509,West,35.1,0.0,Rainy
291,20260509,East,35.6,5.46,Rainy
292,20260509,North,34.6,0.77,Sunny
293,20260510,South,35.7,0.96,Sunny
294,20260510,West,35.2,1.75,Sunny
295,20260510,East,28.5,0.0,Sunny
296,20260510,North,23.0,0.0,Sunny
297,20260511,South,28.1,0.0,Sunny
298,20260511,West,30.2,0.0,Overcast
299,20260511,East,35.2,0.0,Rainy
300,20260511,North,28.8,0.0,Rainy
301,20260512,South,31.9,0.0,Overcast
302,20260512,West,35.9,1.61,Rainy
303,20260512,East,23.0,0.0,Sunny
304,20260512,North,29.9,0.0,Rainy
305,20260513,South,28.7,0.0,Overcast
306,20260513,West,34.0,0.0,Rainy
307,20260513,East,34.6,0.0,Rainy
308,20260513,North,33.0,0.0,Sunny
309,20260514,South,31.1,0.0,Rainy
310,20260514,West,33.9,0.2,Rainy
311,20260514,East,29.5,1.52,Sunny
312,20260514,North,29.2,0.0,Overcast
313,20260515,South,25.4,0.0,Overcast
314,20260515,West,26.7,0.0,Sunny
315,20260515,East,29.4,0.22,Sunny
316,20260515,North,24.9,0.0,Sunny
317,20260516,South,26.2,0.0,Rainy
318,20260516,West,25.8,0.0,Sunny
319,20260516,East,34.6,0.0,Overcast
320,20260516,North,34.0,0.0,Rainy
321,20260517,South,33.4,0.46,Sunny
322,20260517,West,22.3,0.0,Rainy
323,20260517,East,35.6,0.0,Overcast
324,20260517,North,32.5,0.41,Rainy
325,20260518,South,28.0,0.0,Overcast
326,20260518,West,25.5,0.0,Sunny
327,20260518,East,28.3,0.0,Overcast
328,20260518,North,34.2,0.0,Overcast
329,20260519,South,34.9,0.0,Sunny
330,20260519,West,29.6,0.0,Sunny
331,20260519,East,22.4,0.0,Rainy
332,20260519,North,34.7,0.0,Overcast
333,20260520,South,35.1,0.0,Rainy
334,20260520,West,27.0,0.0,Overcast
335,20260520,East,24.9,0.0,Sunny
336,20260520,North,34.3,0.0,Sunny
337,20260521,South,34.6,0.0,Overcast
338,20260521,West,29.7,0.0,Rainy
339,20260521,East,31.9,0.0,Overcast
340,20260521,North,25.2,0.0,Overcast
341,20260522,South,26.6,0.0,Sunny
342,20260522,West,27.4,0.0,Rainy
343,20260522,East,29.7,0.0,Overcast
344,20260522,North,26.5,0.0,Overcast
345,20260523,South,29.2,0.0,Overcast
346,20260523,West,32.5,0.15,Rainy
347,20260523,East,23.4,0.0,Sunny
348,20260523,North,31.5,0.0,Rainy
349,20260524,South,29.8,0.0,Overcast
350,20260524,West,33.5,0.0,Sunny
351,20260524,East,30.4,0.0,Overcast
352,20260524,North,24.3,0.0,Overcast
353,20260525,South,24.9,0.0,Sunny
354,20260525,West,33.9,3.92,Sunny
355,20260525,East,30.7,0.5,Sunny
356,20260525,North,22.2,2.0,Sunny
357,20260526,South,28.4,3.11,Rainy
358,20260526,West,28.3,0.0,Rainy
359,20260526,East,23.2,1.04,Rainy
360,20260526,North,32.1,0.0,Overcast
361,20260527,South,23.9,0.0,Overcast
362,20260527,West,23.6,0.0,Rainy
363,20260527,East,34.7,0.0,Overcast
364,20260527,North,35.2,0.0,Sunny
