sales_key,date_key,sku_key,store_key,supplier_key,quantity_sold,unit_selling_price,discount_applied,is_promotion_active,competitor_price
81,20260226,111,4,7,1,557.6,0.0,False,560.73
82,20260226,120,4,7,10,643.79,0.0,False,657.98
83,20260226,121,4,3,5,636.43,0.0,False,690.9
84,20260226,142,4,4,2,101.55,0.0,False,109.19
85,20260226,148,4,6,8,304.97,0.0,False,292.07
86,20260226,1,5,6,8,427.52,0.0,False,413.57
87,20260226,8,5,5,3,148.91,0.0,False,153.26
88,20260226,12,5,7,9,741.38,0.0,False,725.25
89,20260226,14,5,10,7,530.82,0.0,False,523.52
90,20260226,21,5,10,9,508.06,0.0,False,515.62
91,20260226,25,5,10,7,153.52,107.46,True,151.56
92,20260226,29,5,9,2,245.81,0.0,False,231.33
93,20260226,31,5,1,7,60.98,0.0,False,59.85
94,20260226,34,5,7,7,436.02,305.21,True,443.8
95,20260226,41,5,2,3,663.34,0.0,False,681.73
96,20260226,48,5,8,5,223.93,0.0,False,205.35
97,20260226,51,5,2,4,283.97,0.0,False,305.27
98,20260226,54,5,5,6,329.46,0.0,False,318.18
99,20260226,55,5,2,5,249.41,0.0,False,231.27
100,20260226,63,5,8,5,297.88,0.0,False,310.74
101,20260226,68,5,3,2,417.57,0.0,False,416.81
102,20260226,69,5,7,1,763.32,0.0,False,764.57
103,20260226,70,5,6,9,236.35,0.0,False,223.07
104,20260226,76,5,7,6,202.69,0.0,False,196.38
105,20260226,84,5,10,10,390.41,0.0,False,405.88
106,20260226,89,5,4,6,41.28,0.0,False,41.05
107,20260226,91,5,3,7,300.54,0.0,False,291.16
108,20260226,94,5,1,8,554.62,0.0,False,603.14
109,20260226,97,5,9,1,456.24,0.0,False,476.02
110,20260226,103,5,8,9,183.2,0.0,False,173.22
111,20260226,105,5,6,10,804.99,0.0,False,818.56
112,20260226,106,5,8,1,520.47,0.0,False,542.46
113,20260226,138,5,8,3,27.67,0.0,False,25.23
114,20260226,148,5,6,9,304.97,0.0,False,294.03
115,20260226,5,6,9,9,90.27,0.0,False,81.62
116,20260226,15,6,8,5,275.78,137.89,True,251.68
117,20260226,16,6,8,9,512.21,0.0,False,536.31
118,20260226,21,6,1,5,508.06,0.0,False,541.02
119,20260226,42,6,1,6,603.01,361.81,True,619.53
120,20260226,52,6,7,3,39.82,0.0,False,42.8
121,20260226,58,6,6,9,686.72,0.0,False,694.32
122,20260226,66,6,6,10,63.66,0.0,False,60.96
123,20260226,70,6,3,9,236.35,0.0,False,240.02
124,20260226,76,6,5,9,202.69,0.0,False,185.31
125,20260226,77,6,7,1,583.84,0.0,False,542.54
126,20260226,91,6,6,4,300.54,0.0,False,286.77
127,20260226,102,6,8,3,452.34,0.0,False,446.17
128,20260226,112,6,5,3,579.8,0.0,False,604.64
129,20260226,123,6,3,3,406.78,0.0,False,424.98
130,20260226,134,6,2,10,204.83,0.0,False,224.66
131,20260226,137,6,10,3,135.85,0.0,False,144.14
132,20260226,1,7,5,6,427.52,0.0,False,407.35
133,20260226,3,7,7,2,154.25,0.0,False,157.14
134,20260226,4,7,9,8,416.76,0.0,False,435.52
135,20260226,29,7,9,7,245.81,0.0,False,260.62
136,20260226,31,7,4,4,60.98,0.0,False,62.38
137,20260226,38,7,5,1,375.47,37.55,True,386.49
138,20260226,41,7,4,8,663.34,530.67,True,683.43
139,20260226,44,7,5,7,650.5,0.0,False,599.32
140,20260226,47,7,5,5,708.87,0.0,False,753.28
141,20260226,54,7,9,3,329.46,0.0,False,346.64
142,20260226,55,7,5,4,249.41,0.0,False,244.0
143,20260226,68,7,9,6,417.57,0.0,False,394.08
144,20260226,79,7,9,6,539.44,0.0,False,555.37
145,20260226,86,7,7,5,149.46,0.0,False,156.7
146,20260226,92,7,9,9,38.43,0.0,False,36.02
147,20260226,139,7,6,9,595.48,0.0,False,583.68
148,20260226,142,7,8,4,101.55,0.0,False,106.31
149,20260226,143,7,2,7,640.58,0.0,False,628.91
150,20260226,149,7,1,5,153.75,0.0,False,151.22
151,20260226,5,8,4,8,90.27,0.0,False,97.53
152,20260226,15,8,10,6,275.78,0.0,False,256.65
153,20260226,23,8,9,7,696.04,0.0,False,668.19
154,20260226,26,8,8,7,37.29,0.0,False,34.88
155,20260226,29,8,4,6,245.81,0.0,False,255.57
156,20260226,42,8,7,4,603.01,0.0,False,591.11
157,20260226,44,8,8,10,650.5,0.0,False,637.22
158,20260226,76,8,6,3,202.69,0.0,False,219.14
159,20260226,83,8,7,2,361.54,0.0,False,336.91
160,20260226,84,8,7,3,390.41,0.0,False,414.17
161,20260226,90,8,5,5,360.1,0.0,False,327.64
162,20260226,94,8,5,9,554.62,0.0,False,590.7
163,20260226,97,8,3,4,456.24,182.5,True,432.53
164,20260226,103,8,3,4,183.2,0.0,False,182.49
165,20260226,114,8,4,2,217.44,0.0,False,199.12
166,20260226,130,8,3,10,243.53,0.0,False,260.6
167,20260226,132,8,1,2,557.78,0.0,False,561.73
168,20260226,136,8,6,10,498.42,0.0,False,525.18
169,20260226,140,8,8,1,224.01,22.4,True,211.59
170,20260226,147,8,9,5,163.8,0.0,False,155.84
171,20260226,3,9,8,10,154.25,0.0,False,141.12
172,20260226,14,9,6,7,530.82,0.0,False,487.3
173,20260226,17,9,5,4,345.67,0.0,False,327.98
174,20260226,28,9,9,3,623.27,0.0,False,627.02
175,20260226,39,9,3,8,328.67,0.0,False,359.87
176,20260226,46,9,5,2,93.46,0.0,False,87.76
177,20260226,53,9,5,10,501.67,0.0,False,505.22
178,20260226,56,9,7,8,182.3,0.0,False,196.73
179,20260226,66,9,9,7,63.66,0.0,False,62.18
180,20260226,70,9,9,9,236.35,0.0,False,217.5
181,20260226,72,9,3,9,174.33,0.0,False,158.38
182,20260226,83,9,3,9,361.54,0.0,False,333.1
183,20260226,84,9,4,6,390.41,0.0,False,380.41
184,20260226,87,9,2,3,182.16,0.0,False,189.6
185,20260226,95,9,1,9,154.99,0.0,False,146.35
186,20260226,117,9,2,3,614.33,0.0,False,600.7
187,20260226,118,9,7,8,288.84,0.0,False,292.27
188,20260226,124,9,4,8,146.99,0.0,False,155.57
189,20260226,126,9,8,9,632.86,0.0,False,661.32
190,20260226,141,9,7,3,339.01,0.0,False,334.79
191,20260226,145,9,6,5,250.74,0.0,False,271.54
192,20260226,149,9,1,3,153.75,0.0,False,161.18
193,20260226,6,10,8,9,518.23,0.0,False,530.72
194,20260226,10,10,9,10,68.48,0.0,False,70.43
195,20260226,15,10,9,2,275.78,0.0,False,250.98
196,20260226,19,10,1,2,42.25,0.0,False,42.61
197,20260226,22,10,9,8,471.29,0.0,False,453.87
198,20260226,27,10,2,8,592.88,0.0,False,626.0
199,20260226,32,10,3,7,608.03,0.0,False,622.87
200,20260226,39,10,1,9,328.67,0.0,False,347.22
201,20260226,44,10,1,10,650.5,0.0,False,675.23
202,20260226,46,10,9,1,93.46,0.0,False,98.73
203,20260226,50,10,4,1,332.1,0.0,False,348.06
204,20260226,52,10,7,4,39.82,0.0,False,37.01
205,20260226,59,10,9,4,300.08,0.0,False,321.74
206,20260226,67,10,7,8,468.26,0.0,False,507.6
207,20260226,78,10,6,10,173.01,0.0,False,174.01
208,20260226,85,10,5,10,163.15,0.0,False,149.28
209,20260226,87,10,4,4,182.16,0.0,False,200.36
210,20260226,90,10,1,9,360.1,0.0,False,351.38
211,20260226,91,10,3,9,300.54,0.0,False,288.8
212,20260226,92,10,10,3,38.43,0.0,False,37.27
213,20260226,101,10,5,2,529.42,0.0,False,525.28
214,20260226,102,10,4,3,452.34,0.0,False,444.5
215,20260226,105,10,3,7,804.99,0.0,False,775.09
216,20260226,116,10,7,2,506.55,0.0,False,459.81
217,20260226,122,10,8,8,402.17,0.0,False,386.83
218,20260226,124,10,5,4,146.99,0.0,False,154.09
219,20260226,127,10,8,9,794.94,0.0,False,815.1
220,20260226,128,10,7,8,466.4,373.12,True,453.89
221,20260226,130,10,10,10,243.53,0.0,False,255.13
222,20260226,145,10,3,10,250.74,0.0,False,257.47
223,20260226,147,10,7,6,163.8,98.28,True,180.08
224,20260226,3,11,7,3,154.25,0.0,False,142.01
225,20260226,8,11,7,2,148.91,0.0,False,141.1
226,20260226,13,11,3,5,282.5,0.0,False,262.08
227,20260226,17,11,7,5,345.67,0.0,False,358.13
228,20260226,24,11,9,9,545.85,0.0,False,525.67
229,20260226,30,11,10,7,733.32,0.0,False,753.74
230,20260226,33,11,1,1,340.22,0.0,False,326.86
231,20260226,41,11,1,4,663.34,0.0,False,598.87
232,20260226,43,11,9,4,350.68,0.0,False,345.94
233,20260226,44,11,5,8,650.5,0.0,False,667.5
234,20260226,49,11,5,9,97.63,0.0,False,106.01
235,20260226,52,11,6,3,39.82,11.95,True,41.06
236,20260226,54,11,5,2,329.46,0.0,False,358.37
237,20260226,57,11,2,2,99.94,0.0,False,103.71
238,20260226,67,11,4,8,468.26,0.0,False,429.05
239,20260226,69,11,9,6,763.32,0.0,False,704.29
240,20260226,71,11,6,2,795.69,0.0,False,719.91
241,20260226,79,11,6,5,539.44,0.0,False,496.04
242,20260226,87,11,7,1,182.16,0.0,False,165.78
243,20260226,88,11,6,5,454.13,0.0,False,429.05
244,20260226,102,11,6,4,452.34,0.0,False,470.12
245,20260226,107,11,9,10,278.42,0.0,False,268.71
246,20260226,111,11,7,2,557.6,111.52,True,504.32
247,20260226,118,11,8,8,288.84,0.0,False,273.46
248,20260226,128,11,1,6,466.4,0.0,False,444.34
249,20260226,129,11,8,1,645.79,64.58,True,667.52
250,20260226,132,11,6,1,557.78,55.78,True,528.81
251,20260226,4,12,7,7,416.76,0.0,False,405.63
252,20260226,5,12,10,1,90.27,0.0,False,89.18
253,20260226,14,12,2,1,530.82,0.0,False,575.7
254,20260226,28,12,9,5,623.27,0.0,False,670.47
255,20260226,40,12,8,8,32.82,0.0,False,33.37
256,20260226,48,12,7,10,223.93,0.0,False,222.39
257,20260226,52,12,3,1,39.82,3.98,True,43.17
258,20260226,55,12,1,1,249.41,0.0,False,271.2
259,20260226,67,12,6,5,468.26,0.0,False,455.32
260,20260226,73,12,5,5,537.63,268.81,True,505.95
261,20260226,74,12,10,7,184.46,0.0,False,194.55
262,20260226,77,12,7,8,583.84,0.0,False,617.2
263,20260226,78,12,1,5,173.01,0.0,False,172.23
264,20260226,85,12,8,5,163.15,0.0,False,158.61
265,20260226,89,12,2,10,41.28,0.0,False,43.78
266,20260226,91,12,10,10,300.54,0.0,False,308.27
267,20260226,100,12,3,5,53.92,0.0,False,50.48
268,20260226,106,12,9,6,520.47,0.0,False,567.13
269,20260226,108,12,6,7,321.35,0.0,False,295.79
270,20260226,111,12,5,3,557.6,0.0,False,590.46
271,20260226,117,12,8,10,614.33,0.0,False,567.2
272,20260226,123,12,2,9,406.78,0.0,False,409.46
273,20260226,126,12,4,2,632.86,0.0,False,583.73
274,20260226,129,12,6,1,645.79,0.0,False,709.92
275,20260226,144,12,1,6,71.77,0.0,False,66.94
276,20260226,147,12,3,5,163.8,81.9,True,152.11
277,20260226,1,13,4,7,427.52,0.0,False,418.15
278,20260226,10,13,10,7,68.48,0.0,False,72.93
279,20260226,11,13,3,6,697.43,0.0,False,719.79
280,20260226,16,13,10,5,512.21,256.11,True,558.29
281,20260226,17,13,1,9,345.67,0.0,False,316.21
282,20260226,28,13,10,7,623.27,0.0,False,565.61
283,20260226,29,13,3,9,245.81,0.0,False,229.34
284,20260226,36,13,10,8,496.39,0.0,False,544.55
285,20260226,38,13,10,1,375.47,0.0,False,366.12
286,20260226,50,13,1,3,332.1,0.0,False,350.83
287,20260226,53,13,2,3,501.67,0.0,False,482.31
288,20260226,54,13,5,6,329.46,0.0,False,321.48
289,20260226,59,13,5,2,300.08,0.0,False,317.89
290,20260226,63,13,8,8,297.88,0.0,False,313.0
291,20260226,67,13,4,1,468.26,0.0,False,487.32
292,20260226,68,13,3,10,417.57,417.57,True,443.39
293,20260226,71,13,9,9,795.69,0.0,False,816.17
294,20260226,74,13,8,6,184.46,0.0,False,195.8
295,20260226,75,13,4,10,339.64,0.0,False,356.46
296,20260226,85,13,1,5,163.15,0.0,False,157.88
297,20260226,90,13,1,8,360.1,0.0,False,350.71
298,20260226,92,13,8,10,38.43,0.0,False,39.95
299,20260226,112,13,10,1,579.8,0.0,False,530.63
300,20260226,115,13,8,3,127.28,0.0,False,136.02
301,20260226,119,13,6,4,297.48,0.0,False,323.9
302,20260226,124,13,2,5,146.99,0.0,False,152.92
303,20260226,138,13,4,6,27.67,0.0,False,26.6
304,20260226,139,13,3,4,595.48,0.0,False,605.89
305,20260226,148,13,4,10,304.97,0.0,False,284.84
306,20260226,8,14,1,4,148.91,0.0,False,143.01
307,20260226,11,14,9,2,697.43,0.0,False,720.61
308,20260226,23,14,6,3,696.04,0.0,False,682.54
309,20260226,26,14,6,3,37.29,0.0,False,36.09
310,20260226,27,14,5,8,592.88,0.0,False,564.19
311,20260226,37,14,9,3,287.49,0.0,False,269.79
312,20260226,41,14,6,4,663.34,0.0,False,599.58
313,20260226,56,14,3,1,182.3,0.0,False,184.5
314,20260226,59,14,2,8,300.08,240.06,True,309.98
315,20260226,62,14,1,7,512.05,358.43,True,524.65
316,20260226,72,14,8,9,174.33,0.0,False,172.49
317,20260226,78,14,10,7,173.01,0.0,False,156.28
318,20260226,79,14,2,2,539.44,0.0,False,503.87
319,20260226,98,14,9,3,618.22,185.47,True,649.56
320,20260226,99,14,5,7,436.57,305.6,True,447.21
321,20260226,101,14,3,1,529.42,0.0,False,554.09
322,20260226,102,14,9,6,452.34,0.0,False,419.22
323,20260226,104,14,4,9,846.93,0.0,False,912.48
324,20260226,107,14,7,4,278.42,0.0,False,269.75
325,20260226,122,14,4,3,402.17,0.0,False,381.01
326,20260226,143,14,7,4,640.58,0.0,False,625.92
327,20260226,9,15,7,4,108.7,0.0,False,99.71
328,20260226,14,15,8,10,530.82,0.0,False,480.99
329,20260226,18,15,9,7,606.6,0.0,False,640.36
330,20260226,41,15,4,3,663.34,199.0,True,623.03
331,20260226,47,15,5,1,708.87,0.0,False,750.81
332,20260226,49,15,3,4,97.63,0.0,False,106.96
333,20260226,59,15,1,4,300.08,0.0,False,289.65
334,20260226,66,15,6,9,63.66,0.0,False,69.75
335,20260226,67,15,8,4,468.26,0.0,False,440.48
336,20260226,77,15,10,8,583.84,0.0,False,588.16
337,20260226,84,15,10,10,390.41,390.41,True,358.1
338,20260226,85,15,8,3,163.15,0.0,False,165.41
339,20260226,86,15,2,2,149.46,0.0,False,143.41
340,20260226,92,15,6,10,38.43,0.0,False,41.02
341,20260226,101,15,2,8,529.42,0.0,False,529.17
342,20260226,123,15,5,3,406.78,0.0,False,399.57
343,20260227,1,1,5,2,427.52,0.0,False,465.53
344,20260227,3,1,1,9,154.25,0.0,False,159.95
345,20260227,17,1,5,3,345.67,0.0,False,362.01
346,20260227,27,1,7,4,592.88,0.0,False,606.71
347,20260227,28,1,2,4,623.27,0.0,False,657.22
348,20260227,31,1,8,3,60.98,18.29,True,57.39
349,20260227,37,1,5,3,287.49,0.0,False,297.25
350,20260227,43,1,3,3,350.68,0.0,False,356.0
351,20260227,48,1,1,2,223.93,0.0,False,241.57
352,20260227,51,1,5,2,283.97,0.0,False,258.01
353,20260227,52,1,6,7,39.82,0.0,False,40.25
354,20260227,59,1,5,9,300.08,0.0,False,279.57
355,20260227,62,1,5,10,512.05,0.0,False,481.62
356,20260227,66,1,7,5,63.66,0.0,False,57.68
357,20260227,70,1,3,9,236.35,0.0,False,246.83
358,20260227,72,1,9,9,174.33,0.0,False,181.88
359,20260227,73,1,10,9,537.63,0.0,False,567.25
360,20260227,79,1,5,1,539.44,0.0,False,572.21
361,20260227,80,1,2,6,502.44,0.0,False,513.56
362,20260227,81,1,4,3,124.73,0.0,False,113.8
363,20260227,87,1,1,3,182.16,0.0,False,168.97
364,20260227,92,1,10,4,38.43,0.0,False,35.59
365,20260227,99,1,5,6,436.57,0.0,False,429.59
366,20260227,117,1,7,7,614.33,0.0,False,599.47
367,20260227,120,1,10,10,643.79,0.0,False,651.41
368,20260227,124,1,2,10,146.99,0.0,False,158.73
369,20260227,133,1,7,2,82.08,0.0,False,78.64
370,20260227,141,1,1,2,339.01,67.8,True,368.75
371,20260227,144,1,2,5,71.77,0.0,False,74.38
372,20260227,147,1,6,1,163.8,0.0,False,169.36
373,20260227,149,1,2,5,153.75,0.0,False,149.27
374,20260227,18,2,2,10,606.6,0.0,False,665.62
375,20260227,24,2,1,10,545.85,0.0,False,498.76
376,20260227,34,2,10,4,436.02,0.0,False,443.66
377,20260227,35,2,10,10,101.36,101.36,True,91.75
378,20260227,37,2,4,1,287.49,0.0,False,308.48
379,20260227,56,2,2,9,182.3,0.0,False,165.45
380,20260227,57,2,9,1,99.94,0.0,False,98.05
381,20260227,60,2,3,5,115.47,0.0,False,125.25
382,20260227,61,2,8,8,161.28,0.0,False,149.86
383,20260227,77,2,7,9,583.84,0.0,False,609.86
384,20260227,78,2,7,3,173.01,0.0,False,177.82
385,20260227,82,2,6,1,493.24,0.0,False,491.4
386,20260227,89,2,2,1,41.28,0.0,False,44.11
387,20260227,98,2,9,2,618.22,123.64,True,563.28
388,20260227,100,2,8,4,53.92,0.0,False,55.49
389,20260227,110,2,8,10,206.67,0.0,False,205.62
390,20260227,112,2,3,1,579.8,0.0,False,615.61
391,20260227,113,2,3,6,447.09,0.0,False,475.45
392,20260227,116,2,3,4,506.55,0.0,False,478.61
393,20260227,120,2,7,4,643.79,0.0,False,665.03
394,20260227,121,2,9,3,636.43,0.0,False,683.32
395,20260227,127,2,1,9,794.94,0.0,False,867.97
396,20260227,143,2,3,4,640.58,256.23,True,596.56
397,20260227,144,2,7,4,71.77,28.71,True,69.08
398,20260227,1,3,4,3,427.52,0.0,False,393.8
399,20260227,7,3,7,8,557.67,0.0,False,558.65
400,20260227,8,3,2,10,148.91,0.0,False,151.33
401,20260227,9,3,7,8,108.7,0.0,False,101.14
402,20260227,20,3,9,10,697.92,0.0,False,753.53
403,20260227,23,3,1,8,696.04,0.0,False,701.54
404,20260227,27,3,9,7,592.88,415.02,True,641.84
405,20260227,28,3,7,1,623.27,0.0,False,606.88
406,20260227,30,3,10,2,733.32,146.66,True,761.38
407,20260227,52,3,6,2,39.82,7.96,True,43.02
408,20260227,53,3,9,8,501.67,0.0,False,489.18
409,20260227,61,3,3,3,161.28,0.0,False,153.2
410,20260227,70,3,8,1,236.35,23.64,True,237.3
411,20260227,71,3,1,3,795.69,0.0,False,740.71
412,20260227,76,3,3,6,202.69,0.0,False,209.64
413,20260227,81,3,9,4,124.73,0.0,False,113.31
414,20260227,86,3,4,9,149.46,0.0,False,158.41
415,20260227,88,3,5,2,454.13,0.0,False,482.49
416,20260227,90,3,9,4,360.1,0.0,False,337.24
417,20260227,99,3,4,6,436.57,0.0,False,418.67
418,20260227,106,3,5,5,520.47,0.0,False,493.22
419,20260227,109,3,3,7,757.46,0.0,False,715.08
420,20260227,110,3,10,1,206.67,0.0,False,188.28
421,20260227,111,3,5,4,557.6,0.0,False,602.46
422,20260227,112,3,3,2,579.8,0.0,False,568.74
423,20260227,116,3,10,8,506.55,0.0,False,533.14
424,20260227,119,3,3,3,297.48,0.0,False,279.21
425,20260227,120,3,10,1,643.79,0.0,False,579.67
426,20260227,121,3,9,2,636.43,0.0,False,627.69
427,20260227,122,3,7,5,402.17,0.0,False,417.89
428,20260227,125,3,9,10,105.26,0.0,False,102.39
429,20260227,129,3,1,2,645.79,0.0,False,632.57
430,20260227,137,3,5,3,135.85,0.0,False,138.64
431,20260227,142,3,7,10,101.55,0.0,False,100.12
432,20260227,3,4,2,8,154.25,0.0,False,156.62
433,20260227,59,4,9,9,300.08,0.0,False,306.91
434,20260227,60,4,8,5,115.47,0.0,False,115.42
435,20260227,89,4,7,9,41.28,0.0,False,43.37
436,20260227,92,4,8,4,38.43,0.0,False,36.87
437,20260227,94,4,2,4,554.62,0.0,False,609.49
438,20260227,95,4,3,1,154.99,0.0,False,168.74
439,20260227,106,4,8,9,520.47,0.0,False,480.9
440,20260227,107,4,6,7,278.42,0.0,False,286.43
441,20260227,111,4,8,2,557.6,0.0,False,605.81
442,20260227,112,4,9,4,579.8,0.0,False,623.93
443,20260227,118,4,7,8,288.84,0.0,False,301.92
444,20260227,132,4,2,9,557.78,0.0,False,608.03
445,20260227,133,4,7,9,82.08,73.87,True,79.75
446,20260227,137,4,8,10,135.85,0.0,False,126.09
447,20260227,138,4,9,7,27.67,0.0,False,27.92
448,20260227,141,4,2,10,339.01,0.0,False,353.65
449,20260227,142,4,8,4,101.55,0.0,False,100.91
450,20260227,143,4,1,1,640.58,64.06,True,614.21
451,20260227,147,4,1,8,163.8,0.0,False,151.33
452,20260227,6,5,5,4,518.23,0.0,False,482.77
453,20260227,10,5,2,3,68.48,20.54,True,62.31
454,20260227,17,5,1,3,345.67,0.0,False,325.85
455,20260227,32,5,6,10,608.03,0.0,False,607.89
456,20260227,33,5,10,1,340.22,0.0,False,313.39
457,20260227,43,5,1,8,350.68,0.0,False,332.54
458,20260227,51,5,9,4,283.97,0.0,False,256.82
459,20260227,60,5,7,4,115.47,0.0,False,113.36
460,20260227,64,5,8,7,176.89,0.0,False,194.43
461,20260227,74,5,6,7,184.46,0.0,False,180.86
462,20260227,84,5,10,8,390.41,0.0,False,415.0
463,20260227,90,5,4,9,360.1,324.09,True,370.39
464,20260227,92,5,8,9,38.43,0.0,False,34.75
465,20260227,99,5,6,7,436.57,0.0,False,398.78
466,20260227,115,5,1,9,127.28,114.55,True,123.48
467,20260227,122,5,3,10,402.17,0.0,False,376.01
468,20260227,137,5,9,4,135.85,0.0,False,126.4
469,20260227,142,5,5,5,101.55,0.0,False,99.83
470,20260227,147,5,9,9,163.8,0.0,False,179.18
471,20260227,10,6,2,4,68.48,0.0,False,62.13
472,20260227,16,6,6,6,512.21,0.0,False,529.65
473,20260227,21,6,10,7,508.06,0.0,False,481.41
474,20260227,28,6,9,4,623.27,0.0,False,571.08
475,20260227,32,6,2,5,608.03,0.0,False,617.75
476,20260227,34,6,3,7,436.02,0.0,False,455.08
477,20260227,39,6,7,4,328.67,0.0,False,350.94
478,20260227,40,6,5,9,32.82,29.54,True,30.85
479,20260227,43,6,9,3,350.68,0.0,False,382.7
480,20260227,62,6,4,8,512.05,0.0,False,559.23
481,20260227,66,6,8,5,63.66,0.0,False,61.62
482,20260227,81,6,2,6,124.73,0.0,False,131.4
483,20260227,85,6,1,9,163.15,0.0,False,161.26
484,20260227,87,6,8,7,182.16,127.51,True,168.45
485,20260227,89,6,6,1,41.28,0.0,False,40.14
486,20260227,91,6,6,9,300.54,0.0,False,276.22
487,20260227,92,6,1,2,38.43,0.0,False,39.71
488,20260227,96,6,6,8,723.03,0.0,False,714.84
489,20260227,106,6,2,3,520.47,0.0,False,548.89
490,20260227,107,6,8,4,278.42,0.0,False,257.76
491,20260227,108,6,7,7,321.35,0.0,False,292.84
492,20260227,114,6,1,3,217.44,0.0,False,207.87
493,20260227,121,6,1,2,636.43,0.0,False,606.99
494,20260227,124,6,4,10,146.99,146.99,True,141.34
495,20260227,125,6,9,1,105.26,0.0,False,105.3
