snapshot_key,date_key,employee_key,is_active,training_hours_completed,tenure_days,promotion_lag_months,performance_score
85,20240522,26,True,13.7,90,3,3
86,20240820,26,True,14.2,180,6,3
87,20250216,26,True,18.3,360,12,3
88,20250815,26,True,4.5,540,18,3
89,20240205,27,True,22.1,30,1,3
90,20240405,27,True,23.3,90,3,3
91,20240704,27,True,16.8,180,6,4
92,20241231,27,True,6.9,360,12,3
93,20250629,27,True,11.3,540,18,4
94,20250815,28,True,3.2,30,1,4
95,20251014,28,True,10.9,90,3,3
96,20260112,28,True,17.7,180,6,3
97,20240502,29,True,19.1,30,1,4
98,20240701,29,True,23.9,90,3,3
99,20240929,29,True,5.9,180,6,1
100,20250328,29,True,17.4,360,12,5
101,20250924,29,True,22.5,540,18,4
102,20230325,30,True,6.4,30,1,3
103,20230524,30,True,12.2,90,3,5
104,20230914,31,True,13.8,30,1,3
105,20231113,31,True,22.9,90,3,3
106,20240211,31,True,23.4,180,6,2
107,20240824,32,True,21.5,30,1,5
108,20241023,32,True,8.5,90,3,3
109,20250121,32,True,17.7,180,6,3
110,20250720,32,True,19.9,360,12,3
111,20260116,32,True,6.9,540,18,4
112,20220825,33,True,11.2,30,1,4
113,20221024,33,True,6.5,90,3,5
114,20230122,33,True,16.1,180,6,3
115,20230721,33,True,2.9,360,12,3
116,20231010,34,True,19.3,30,1,4
117,20231209,34,True,5.6,90,3,4
118,20240308,34,True,7.0,180,6,3
119,20240904,34,True,22.0,360,12,3
120,20250303,34,True,19.8,540,18,2
121,20240404,35,True,12.8,30,1,3
122,20240603,35,True,19.9,90,3,4
123,20240729,36,True,6.0,30,1,3
124,20240927,36,True,3.2,90,3,3
125,20241226,36,True,16.2,180,6,3
126,20250624,36,True,7.8,360,12,2
127,20251221,36,True,4.5,540,18,3
128,20221021,37,True,18.8,30,1,3
129,20221220,37,True,6.2,90,3,2
130,20230320,37,True,14.0,180,6,3
131,20230916,37,True,4.3,360,12,4
132,20240317,38,True,3.7,30,1,2
133,20240516,38,True,4.7,90,3,5
134,20240814,38,True,7.5,180,6,1
135,20250210,38,True,2.9,360,12,4
136,20250809,38,True,20.8,540,18,3
137,20221007,39,True,7.8,30,1,2
138,20221206,39,True,22.7,90,3,3
139,20230306,39,True,4.5,180,6,3
140,20230902,39,True,9.8,360,12,3
141,20231014,40,True,21.0,30,1,3
142,20231213,40,True,6.6,90,3,3
143,20240312,40,True,23.1,180,6,3
144,20240908,40,True,16.5,360,12,2
145,20250307,40,True,7.6,540,18,3
146,20220219,41,True,13.2,30,1,4
147,20220420,41,True,8.3,90,3,3
148,20220719,41,True,8.2,180,6,3
149,20230117,42,True,10.0,30,1,4
150,20230318,42,True,13.1,90,3,3
151,20230616,42,True,5.0,180,6,5
152,20231213,42,True,23.5,360,12,4
153,20240610,42,True,11.6,540,18,3
154,20220716,43,True,18.8,30,1,3
155,20220914,43,True,20.9,90,3,4
156,20221213,43,True,5.2,180,6,3
157,20230611,43,True,12.6,360,12,3
158,20230714,44,True,7.8,30,1,4
159,20230912,44,True,5.7,90,3,3
160,20231211,44,True,9.4,180,6,3
161,20240608,44,True,6.9,360,12,3
162,20241205,44,True,21.1,540,18,1
163,20241130,45,True,13.7,30,1,3
164,20250129,45,True,14.4,90,3,3
165,20250429,45,True,13.2,180,6,2
166,20250927,46,True,10.5,30,1,3
167,20251126,46,True,11.0,90,3,3
168,20260224,46,True,11.7,180,6,2
169,20220929,48,True,15.8,30,1,3
170,20221128,48,True,9.6,90,3,2
171,20230226,48,True,8.5,180,6,1
172,20230825,48,True,6.6,360,12,3
173,20240221,48,True,22.6,540,18,4
174,20240406,49,True,8.1,30,1,3
175,20240605,49,True,7.3,90,3,3
176,20240903,49,True,13.1,180,6,5
177,20250305,50,True,9.1,30,1,5
178,20250504,50,True,17.4,90,3,3
179,20250802,50,True,11.5,180,6,3
180,20260129,50,True,22.2,360,12,4
181,20240226,51,True,5.4,30,1,5
182,20240426,51,True,11.2,90,3,5
183,20240725,51,True,10.3,180,6,3
184,20240318,52,True,18.8,30,1,2
185,20240517,52,True,17.5,90,3,3
186,20240815,52,True,18.4,180,6,3
187,20250211,52,True,5.8,360,12,3
188,20250419,53,True,4.8,30,1,2
189,20250618,53,True,19.6,90,3,4
190,20250916,53,True,6.5,180,6,1
191,20260315,53,True,2.4,360,12,3
192,20210903,55,True,6.8,30,1,1
193,20211102,55,True,21.9,90,3,3
194,20220131,55,True,16.2,180,6,4
195,20220730,55,True,2.8,360,12,3
196,20221116,56,True,9.9,30,1,2
197,20230115,56,True,11.3,90,3,4
198,20230415,56,True,22.3,180,6,3
199,20231023,57,True,4.1,30,1,2
200,20231222,57,True,12.4,90,3,3
201,20240321,57,True,16.4,180,6,3
202,20240917,57,True,15.2,360,12,3
203,20250316,57,True,10.4,540,18,4
204,20241212,58,True,8.0,30,1,3
205,20250210,58,True,8.9,90,3,3
206,20250511,58,True,22.6,180,6,3
207,20251121,59,True,8.7,30,1,5
208,20260120,59,True,6.0,90,3,3
209,20260420,59,True,20.0,180,6,5
210,20261017,59,True,13.8,360,12,3
211,20250411,61,True,13.3,30,1,3
212,20250610,61,True,14.7,90,3,3
213,20250908,61,True,22.0,180,6,3
214,20260307,61,True,13.4,360,12,3
215,20210729,63,True,3.1,30,1,3
216,20210927,63,True,17.6,90,3,3
217,20211226,63,True,13.0,180,6,3
218,20220624,63,True,22.5,360,12,3
219,20230114,64,True,13.6,30,1,4
220,20230315,64,True,9.1,90,3,5
221,20230613,64,True,4.9,180,6,4
222,20231210,64,True,20.2,360,12,3
223,20240607,64,True,19.8,540,18,4
224,20240421,65,True,7.7,30,1,3
225,20240620,65,True,19.1,90,3,3
226,20240918,65,True,4.1,180,6,3
227,20250317,65,True,12.9,360,12,3
228,20250913,65,True,22.8,540,18,3
229,20220330,66,True,3.5,30,1,3
230,20220529,66,True,6.4,90,3,3
231,20211217,67,True,22.6,30,1,5
232,20220215,67,True,14.3,90,3,2
233,20220516,67,True,18.1,180,6,3
234,20221112,67,True,13.6,360,12,3
235,20230511,67,True,7.4,540,18,3
236,20230317,68,True,17.5,30,1,5
237,20230516,68,True,11.8,90,3,3
238,20230814,68,True,5.4,180,6,3
239,20240210,68,True,5.7,360,12,3
240,20240808,68,True,2.5,540,18,3
241,20240322,69,True,18.0,30,1,4
242,20240521,69,True,18.0,90,3,3
243,20240819,69,True,2.0,180,6,3
244,20250124,70,True,3.8,30,1,4
245,20250325,70,True,14.6,90,3,3
246,20250623,70,True,3.9,180,6,3
247,20251220,70,True,4.4,360,12,4
248,20230920,71,True,4.5,30,1,3
249,20231119,71,True,23.7,90,3,4
250,20240217,71,True,17.6,180,6,3
251,20240815,71,True,4.3,360,12,3
252,20250211,71,True,16.8,540,18,2
253,20221207,72,True,7.3,30,1,3
254,20230205,72,True,15.6,90,3,3
255,20230506,72,True,3.6,180,6,4
256,20231102,72,True,17.9,360,12,3
257,20231207,73,True,19.7,30,1,5
258,20240205,73,True,15.2,90,3,3
259,20240505,73,True,13.4,180,6,3
260,20241101,73,True,6.0,360,12,2
261,20250430,73,True,18.0,540,18,5
262,20230423,74,True,2.4,30,1,3
263,20230622,74,True,19.7,90,3,1
264,20230920,74,True,18.9,180,6,4
265,20240318,74,True,10.6,360,12,4
266,20240914,74,True,21.0,540,18,5
267,20240211,75,True,2.2,30,1,3
268,20240411,75,True,2.9,90,3,4
269,20240710,75,True,19.5,180,6,4
270,20250106,75,True,7.6,360,12,3
271,20250729,76,True,7.5,30,1,3
272,20250927,76,True,2.6,90,3,4
273,20251226,76,True,21.2,180,6,4
274,20250705,78,True,9.5,30,1,3
275,20250903,78,True,10.9,90,3,4
276,20251202,78,True,14.7,180,6,3
277,20260531,78,True,8.7,360,12,3
278,20261127,78,True,4.5,540,18,5
279,20230420,80,True,20.7,30,1,3
280,20230619,80,True,17.5,90,3,3
281,20230917,80,True,11.7,180,6,1
282,20240315,80,True,12.6,360,12,3
283,20240911,80,True,11.2,540,18,3
284,20250322,81,True,22.5,30,1,3
285,20250521,81,True,13.5,90,3,3
286,20250819,81,True,7.9,180,6,3
287,20260215,81,True,15.5,360,12,5
288,20260817,82,True,17.1,30,1,3
289,20261016,82,True,22.6,90,3,3
290,20270114,82,True,16.4,180,6,3
291,20230411,84,True,14.7,30,1,4
292,20230610,84,True,5.3,90,3,3
293,20230908,84,True,12.3,180,6,3
294,20240225,85,True,14.4,30,1,3
295,20240425,85,True,20.6,90,3,4
296,20240724,85,True,16.1,180,6,1
297,20250120,85,True,15.7,360,12,4
298,20250719,85,True,19.0,540,18,5
299,20251013,86,True,22.9,30,1,4
300,20251212,86,True,9.6,90,3,3
301,20260312,86,True,11.0,180,6,3
302,20240505,87,True,13.0,30,1,4
303,20240704,87,True,22.4,90,3,4
304,20241002,87,True,5.9,180,6,3
305,20220721,88,True,10.8,30,1,5
306,20220919,88,True,9.8,90,3,5
307,20221218,88,True,8.5,180,6,3
308,20230616,88,True,3.0,360,12,3
309,20231116,89,True,6.3,30,1,5
310,20240115,89,True,14.4,90,3,1
311,20240414,89,True,8.0,180,6,4
312,20241011,89,True,6.8,360,12,3
313,20250203,90,True,5.0,30,1,2
314,20250404,90,True,11.0,90,3,3
315,20250703,90,True,3.3,180,6,1
316,20251230,90,True,6.1,360,12,5
317,20210709,91,True,6.9,30,1,3
318,20210907,91,True,4.3,90,3,3
319,20211206,91,True,14.0,180,6,5
320,20220604,91,True,9.3,360,12,3
321,20210914,92,True,11.1,30,1,3
322,20211113,92,True,16.7,90,3,2
323,20220211,92,True,23.8,180,6,4
324,20220810,92,True,5.1,360,12,3
325,20230206,92,True,23.7,540,18,5
326,20211218,93,True,8.8,30,1,4
327,20220216,93,True,20.2,90,3,4
328,20220517,93,True,9.7,180,6,3
329,20250202,94,True,11.6,30,1,3
330,20250403,94,True,14.2,90,3,3
331,20250702,94,True,15.8,180,6,1
332,20251229,94,True,20.3,360,12,2
333,20221006,95,True,22.3,30,1,5
334,20221205,95,True,12.4,90,3,3
335,20230305,95,True,23.4,180,6,3
336,20230901,95,True,10.0,360,12,4
337,20240228,95,True,14.9,540,18,3
338,20240503,96,True,21.6,30,1,2
339,20240702,96,True,16.1,90,3,3
340,20240930,96,True,20.9,180,6,4
341,20250329,96,True,20.7,360,12,3
342,20250604,97,True,12.0,30,1,3
343,20250803,97,True,20.5,90,3,3
344,20251101,97,True,20.1,180,6,3
345,20260430,97,True,6.8,360,12,5
346,20250421,98,True,12.6,30,1,3
347,20250620,98,True,23.7,90,3,3
348,20250918,98,True,13.4,180,6,3
349,20220203,99,True,18.4,30,1,2
350,20220404,99,True,20.2,90,3,2
351,20220703,99,True,12.1,180,6,3
352,20221203,100,True,14.3,30,1,2
353,20230201,100,True,11.1,90,3,4
354,20230502,100,True,14.8,180,6,3
355,20231111,101,True,8.9,30,1,3
356,20240110,101,True,23.1,90,3,3
357,20240409,101,True,11.9,180,6,4
358,20241006,101,True,10.6,360,12,5
359,20250404,101,True,5.9,540,18,3
360,20231110,102,True,15.6,30,1,4
361,20240109,102,True,16.6,90,3,3
362,20240408,102,True,12.4,180,6,3
363,20241005,102,True,8.8,360,12,3
364,20250429,103,True,13.5,30,1,3
365,20250628,103,True,7.7,90,3,3
366,20250926,103,True,23.9,180,6,3
367,20260325,103,True,13.8,360,12,3
368,20240124,104,True,22.4,30,1,2
369,20240324,104,True,21.4,90,3,5
370,20240622,104,True,16.9,180,6,3
371,20241219,104,True,12.4,360,12,3
372,20250617,104,True,3.3,540,18,3
373,20231009,105,True,14.8,30,1,3
374,20231208,105,True,3.7,90,3,3
375,20240307,105,True,22.9,180,6,3
376,20240903,105,True,4.8,360,12,3
377,20241129,106,True,9.1,30,1,2
378,20250128,106,True,11.2,90,3,2
379,20250428,106,True,14.6,180,6,3
380,20251025,106,True,12.6,360,12,1
381,20260423,106,True,2.4,540,18,3
382,20230116,107,True,13.4,30,1,5
383,20230317,107,True,8.7,90,3,3
384,20230615,107,True,22.0,180,6,3
385,20231120,108,True,6.4,30,1,4
386,20240119,108,True,14.3,90,3,5
387,20240418,108,True,21.0,180,6,3
388,20241015,108,True,22.3,360,12,3
389,20250413,108,True,3.4,540,18,3
390,20250630,109,True,21.8,30,1,3
391,20250829,109,True,2.1,90,3,5
392,20251127,109,True,21.0,180,6,4
393,20260526,109,True,17.2,360,12,3
394,20230727,110,True,8.1,30,1,3
395,20230925,110,True,6.0,90,3,4
396,20231224,110,True,4.9,180,6,3
397,20240621,110,True,14.5,360,12,4
398,20241218,110,True,13.1,540,18,3
399,20230712,111,True,3.8,30,1,3
400,20230910,111,True,3.9,90,3,2
401,20231209,111,True,13.9,180,6,5
402,20240606,111,True,16.7,360,12,3
403,20240915,112,True,17.4,30,1,1
404,20241114,112,True,12.1,90,3,4
405,20250212,112,True,13.6,180,6,3
406,20250830,113,True,10.7,30,1,4
407,20251029,113,True,22.9,90,3,4
408,20260127,113,True,18.2,180,6,3
409,20250123,114,True,8.4,30,1,3
410,20250324,114,True,7.1,90,3,3
411,20250622,114,True,14.3,180,6,3
412,20251219,114,True,21.0,360,12,3
413,20260214,115,True,13.6,30,1,4
414,20260415,115,True,11.5,90,3,4
415,20220516,116,True,11.9,30,1,3
416,20220715,116,True,6.6,90,3,2
417,20220103,117,True,10.6,30,1,3
418,20220304,117,True,22.3,90,3,3
419,20220602,117,True,4.4,180,6,2
420,20221129,117,True,18.9,360,12,3
421,20230528,117,True,4.0,540,18,3
422,20230319,118,True,4.1,30,1,3
423,20230518,118,True,16.4,90,3,3
424,20230816,118,True,5.7,180,6,3
425,20240212,118,True,4.4,360,12,1
426,20240714,119,True,16.0,30,1,3
427,20240912,119,True,23.2,90,3,4
428,20241211,119,True,14.3,180,6,3
429,20250609,119,True,7.3,360,12,5
430,20250912,120,True,8.9,30,1,3
431,20251111,120,True,3.4,90,3,3
432,20260209,120,True,12.6,180,6,3
433,20241127,121,True,14.5,30,1,3
434,20250126,121,True,17.2,90,3,3
435,20250426,121,True,23.9,180,6,4
436,20251023,121,True,5.6,360,12,4
437,20260421,121,True,9.6,540,18,2
438,20240523,122,True,20.5,30,1,2
439,20240722,122,True,7.8,90,3,1
440,20241020,122,True,13.1,180,6,3
441,20250418,122,True,2.9,360,12,3
442,20250528,123,True,16.4,30,1,3
443,20250727,123,True,6.7,90,3,3
444,20251025,123,True,12.4,180,6,1
445,20260423,123,True,2.9,360,12,3
446,20231016,124,True,4.0,30,1,3
447,20231215,124,True,6.5,90,3,3
448,20240314,124,True,19.1,180,6,3
449,20240910,124,True,17.2,360,12,2
450,20220430,125,True,2.9,30,1,3
451,20220629,125,True,23.0,90,3,4
452,20220927,125,True,9.2,180,6,3
453,20230326,125,True,9.8,360,12,3
454,20230922,125,True,2.4,540,18,3
455,20230430,126,True,12.6,30,1,3
456,20230629,126,True,11.4,90,3,3
457,20230927,126,True,21.9,180,6,5
458,20240325,126,True,19.0,360,12,3
459,20240729,127,True,2.1,30,1,3
460,20240927,127,True,19.1,90,3,2
461,20241226,127,True,21.6,180,6,3
462,20250624,127,True,15.3,360,12,2
463,20251209,128,True,20.3,30,1,3
464,20260207,128,True,9.6,90,3,3
465,20260508,128,True,10.0,180,6,3
466,20210802,129,True,16.5,30,1,3
467,20211001,129,True,2.0,90,3,3
468,20211230,129,True,20.1,180,6,3
469,20220628,129,True,16.6,360,12,3
470,20230708,130,True,23.4,30,1,3
471,20230906,130,True,22.7,90,3,4
472,20231205,130,True,21.0,180,6,4
473,20240602,130,True,8.6,360,12,3
474,20241129,130,True,3.2,540,18,2
475,20250208,131,True,4.9,30,1,5
476,20250409,131,True,7.1,90,3,3
477,20250708,131,True,6.3,180,6,2
478,20260104,131,True,18.7,360,12,4
479,20260211,132,True,5.9,30,1,3
480,20260412,132,True,21.1,90,3,3
481,20260711,132,True,5.3,180,6,4
482,20270107,132,True,6.0,360,12,3
483,20270706,132,True,3.9,540,18,3
484,20250514,134,True,17.2,30,1,3
485,20250713,134,True,12.1,90,3,1
486,20251011,134,True,20.7,180,6,4
487,20260409,134,True,12.6,360,12,3
488,20221029,135,True,2.7,30,1,2
489,20221228,135,True,21.6,90,3,5
490,20230328,135,True,19.8,180,6,4
491,20230924,135,True,7.3,360,12,3
492,20240322,135,True,13.6,540,18,2
493,20210908,136,True,3.8,30,1,3
494,20211107,136,True,11.4,90,3,5
495,20220205,136,True,16.4,180,6,4
496,20240709,137,True,18.8,30,1,2
497,20240907,137,True,4.9,90,3,4
498,20241206,137,True,9.7,180,6,3
499,20250604,137,True,16.3,360,12,2
500,20251201,137,True,23.9,540,18,2
501,20241114,138,True,16.6,30,1,3
502,20250113,138,True,20.2,90,3,3
503,20250413,138,True,18.1,180,6,1
504,20251014,139,True,12.5,30,1,4
505,20251213,139,True,20.7,90,3,3
506,20260313,139,True,9.0,180,6,3
507,20220707,140,True,12.1,30,1,4
508,20220905,140,True,18.4,90,3,3
509,20221204,140,True,3.2,180,6,3
510,20230602,140,True,18.1,360,12,4
511,20230919,141,True,22.8,30,1,3
512,20231118,141,True,4.6,90,3,5
513,20240216,141,True,12.1,180,6,3
514,20240814,141,True,16.6,360,12,1
515,20250210,141,True,21.7,540,18,3
516,20220320,142,True,15.1,30,1,2
517,20220519,142,True,8.2,90,3,3
518,20220817,142,True,16.1,180,6,3
519,20230213,142,True,5.7,360,12,3
520,20230812,142,True,8.3,540,18,3
521,20220516,143,True,7.5,30,1,3
522,20220715,143,True,16.9,90,3,4
523,20221013,143,True,11.8,180,6,3
524,20230411,143,True,9.9,360,12,3
525,20231008,143,True,3.4,540,18,5
526,20210928,144,True,17.6,30,1,2
527,20211127,144,True,22.5,90,3,3
528,20220225,144,True,5.2,180,6,4
529,20220824,144,True,7.7,360,12,3
530,20230209,145,True,22.4,30,1,3
531,20230410,145,True,18.1,90,3,3
532,20230709,145,True,9.6,180,6,5
533,20240105,145,True,3.8,360,12,3
534,20240703,145,True,13.5,540,18,3
535,20240815,146,True,4.2,30,1,5
536,20241014,146,True,22.9,90,3,3
537,20250112,146,True,8.1,180,6,3
538,20250711,146,True,14.7,360,12,4
539,20260107,146,True,20.2,540,18,3
540,20240912,147,True,4.7,30,1,1
541,20241111,147,True,8.0,90,3,3
542,20250209,147,True,23.0,180,6,3
543,20250725,148,True,22.8,30,1,3
544,20250923,148,True,7.2,90,3,3
545,20251222,148,True,9.2,180,6,3
546,20250513,149,True,11.7,30,1,5
547,20250712,149,True,7.1,90,3,1
548,20251010,149,True,11.4,180,6,3
549,20260408,149,True,10.5,360,12,3
550,20260814,150,True,5.3,30,1,3
551,20261013,150,True,10.7,90,3,3
552,20270111,150,True,2.9,180,6,3
553,20270710,150,True,8.6,360,12,2
554,20250224,152,True,17.7,30,1,3
555,20250425,152,True,5.6,90,3,3
556,20250724,152,True,17.0,180,6,3
557,20260120,152,True,6.7,360,12,3
558,20260719,152,True,19.1,540,18,3
559,20250608,154,True,14.7,30,1,5
560,20250807,154,True,16.0,90,3,3
561,20251105,154,True,19.4,180,6,3
562,20241230,155,True,3.5,30,1,3
563,20250228,155,True,3.3,90,3,4
564,20250529,155,True,19.5,180,6,5
565,20251125,155,True,17.5,360,12,1
566,20240125,156,True,6.7,30,1,3
567,20240325,156,True,23.0,90,3,3
568,20240623,156,True,12.6,180,6,4
569,20241220,156,True,14.1,360,12,1
570,20250618,156,True,19.8,540,18,3
571,20220801,157,True,19.0,30,1,4
572,20220930,157,True,17.4,90,3,3
573,20221229,157,True,11.0,180,6,5
574,20230627,157,True,20.4,360,12,3
575,20231224,157,True,13.6,540,18,2
576,20250730,158,True,18.2,30,1,3
577,20250928,158,True,20.5,90,3,5
578,20251227,158,True,21.9,180,6,3
579,20231118,159,True,3.6,30,1,2
580,20240117,159,True,3.9,90,3,3
581,20240416,159,True,16.0,180,6,3
582,20250611,160,True,2.1,30,1,3
583,20250810,160,True,12.6,90,3,3
584,20251108,160,True,13.6,180,6,3
585,20260507,160,True,19.2,360,12,2
586,20261103,160,True,22.4,540,18,5
587,20220621,162,True,21.5,30,1,3
588,20220820,162,True,12.2,90,3,3
589,20221118,162,True,19.3,180,6,4
590,20230517,162,True,3.1,360,12,2
591,20231113,162,True,24.0,540,18,3
592,20240118,163,True,15.5,30,1,2
593,20240318,163,True,12.6,90,3,4
594,20240616,163,True,17.8,180,6,3
595,20241213,163,True,4.0,360,12,4
596,20250611,163,True,13.6,540,18,1
597,20250828,164,True,10.9,30,1,3
598,20251027,164,True,13.7,90,3,3
599,20260125,164,True,12.6,180,6,2
600,20250123,165,True,2.2,30,1,4
601,20250324,165,True,16.1,90,3,4
602,20250622,165,True,10.4,180,6,3
603,20251219,165,True,17.1,360,12,3
604,20260411,166,True,12.2,30,1,3
605,20260610,166,True,6.6,90,3,4
606,20260908,166,True,8.8,180,6,5
607,20230504,168,True,17.8,30,1,3
608,20230703,168,True,7.9,90,3,2
609,20231001,168,True,23.5,180,6,3
610,20250718,169,True,23.3,30,1,3
611,20250916,169,True,13.8,90,3,3
612,20251215,169,True,12.1,180,6,3
613,20260613,169,True,8.3,360,12,3
614,20261210,169,True,7.2,540,18,4
615,20230712,171,True,16.8,30,1,3
616,20230910,171,True,21.0,90,3,1
617,20231209,171,True,13.9,180,6,3
618,20240530,172,True,21.7,30,1,3
619,20240729,172,True,4.5,90,3,3
620,20241027,172,True,10.4,180,6,3
621,20250425,172,True,10.1,360,12,3
622,20251022,172,True,20.0,540,18,2
623,20231107,173,True,12.4,30,1,3
624,20240106,173,True,4.8,90,3,2
625,20240405,173,True,16.1,180,6,3
626,20241002,173,True,13.7,360,12,5
627,20241127,174,True,16.9,30,1,5
628,20250126,174,True,7.8,90,3,3
629,20250426,174,True,19.5,180,6,4
630,20251023,174,True,22.3,360,12,3
631,20260421,174,True,16.3,540,18,3
632,20240115,175,True,8.0,30,1,3
633,20240315,175,True,11.0,90,3,3
634,20240613,175,True,2.0,180,6,3
635,20241210,175,True,13.3,360,12,3
636,20250608,175,True,13.9,540,18,3
637,20240329,176,True,11.1,30,1,3
638,20240528,176,True,16.7,90,3,4
639,20240826,176,True,8.6,180,6,3
640,20250222,176,True,17.0,360,12,1
641,20250419,177,True,9.7,30,1,3
642,20250618,177,True,22.4,90,3,3
643,20250916,177,True,8.6,180,6,4
644,20260315,177,True,23.9,360,12,1
645,20240308,178,True,3.8,30,1,3
646,20240507,178,True,8.6,90,3,3
647,20240805,178,True,17.4,180,6,4
648,20250213,179,True,18.2,30,1,3
649,20250414,179,True,11.5,90,3,3
650,20250713,179,True,11.4,180,6,4
651,20260109,179,True,5.5,360,12,3
652,20230625,180,True,20.9,30,1,4
653,20230824,180,True,19.1,90,3,3
654,20231122,180,True,23.5,180,6,3
655,20240520,180,True,14.7,360,12,3
656,20241116,180,True,19.6,540,18,3
657,20250110,181,True,15.6,30,1,3
658,20250311,181,True,10.7,90,3,4
659,20250609,181,True,4.4,180,6,1
660,20251206,181,True,4.4,360,12,1
661,20240922,182,True,18.1,30,1,5
662,20241121,182,True,22.6,90,3,3
663,20250219,182,True,5.8,180,6,4
664,20250818,182,True,13.3,360,12,3
665,20260214,182,True,15.3,540,18,4
666,20260430,183,True,16.9,30,1,3
667,20260629,183,True,7.2,90,3,3
668,20260927,183,True,13.9,180,6,5
669,20270326,183,True,14.9,360,12,4
670,20231006,185,True,17.5,30,1,4
671,20231205,185,True,23.3,90,3,2
672,20240304,185,True,13.2,180,6,4
673,20240922,186,True,5.8,30,1,2
674,20241121,186,True,11.2,90,3,4
675,20250219,186,True,13.8,180,6,3
676,20250818,186,True,21.8,360,12,4
677,20260214,186,True,3.2,540,18,2
678,20250721,187,True,6.3,30,1,2
679,20250919,187,True,18.9,90,3,5
680,20251218,187,True,20.9,180,6,3
681,20240609,188,True,5.6,30,1,1
682,20240808,188,True,23.5,90,3,4
683,20241106,188,True,4.2,180,6,3
684,20250505,188,True,18.0,360,12,4
685,20231115,189,True,18.1,30,1,3
686,20240114,189,True,6.4,90,3,3
687,20240413,189,True,8.4,180,6,5
688,20241010,189,True,2.9,360,12,3
689,20250408,189,True,6.9,540,18,3
690,20210820,190,True,23.4,30,1,5
691,20211019,190,True,8.6,90,3,3
692,20220117,190,True,18.5,180,6,4
693,20220716,190,True,23.9,360,12,2
694,20230112,190,True,15.4,540,18,1
695,20230311,191,True,17.2,30,1,2
