alert_id,transaction_id,triggered_rules,risk_score,status,assigned_analyst,resolution_notes,created_at,resolved_at
28,TXN_0008232,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",84.32,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-23 16:57:31,2026-05-24 13:57:31
29,TXN_0008479,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",72.1,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-12 05:10:08,2026-04-12 14:10:08
30,TXN_0008484,"{""Velocity Check Violated"",""High Risk MCC Check""}",99.17,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-03 17:24:46,2026-05-04 05:24:46
31,TXN_0008803,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",33.72,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-11 03:25:08,2026-05-11 04:25:08
32,TXN_0008804,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",69.43,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-05 04:22:23,2026-04-05 10:22:23
33,TXN_0009193,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",90.9,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-22 06:53:42,2026-04-22 10:53:42
34,TXN_0009816,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",95.44,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-06 12:53:54,2026-04-07 07:53:54
35,TXN_0010430,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",16.31,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-16 12:14:55,2026-04-16 22:14:55
36,TXN_0011278,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",92.32,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-11 02:15:55,2026-04-11 07:15:55
37,TXN_0011306,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",29.35,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-09 21:41:43,2026-04-10 09:41:43
38,TXN_0011395,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",49.15,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-10 22:20:56,2026-05-11 03:20:56
39,TXN_0011590,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",76.16,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-27 18:25:12,2026-04-28 10:25:12
40,TXN_0011596,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",81.72,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-25 15:19:00,2026-05-25 20:19:00
41,TXN_0011717,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",57.85,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-23 07:20:29,2026-05-23 23:20:29
42,TXN_0012456,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",18.05,False Positive,Unassigned,Legitimate customer purchase verified,2026-05-20 01:49:50,2026-05-20 08:49:50
43,TXN_0013117,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",33.06,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-19 14:10:08,2026-04-19 18:10:08
44,TXN_0013232,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",11.53,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-18 18:48:03,2026-04-19 00:48:03
45,TXN_0013669,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",53.18,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-20 11:02:07,2026-04-21 00:02:07
46,TXN_0013823,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",54.54,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-05-13 03:46:30,2026-05-14 02:46:30
47,TXN_0014270,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",39.39,False Positive,Unassigned,Legitimate customer purchase verified,2026-04-22 01:15:24,2026-04-22 22:15:24
48,TXN_0014499,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",63.21,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-08 10:22:35,2026-04-08 18:22:35
49,TXN_0014646,"{""Velocity Check Violated"",""Extreme Amount Z-Score""}",70.36,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-03 12:17:18,2026-04-04 00:17:18
50,TXN_0014800,"{""Velocity Check Violated"",""Extreme Amount Z-Score"",""High Risk MCC Check""}",50.39,Confirmed Fraud,Shweta M K,"Blocked transaction, marked card suspended",2026-04-24 09:21:13,2026-04-24 12:21:13
