sku_key,product_name,category,historical_mean,linest_slope,forecast_12m_sum,monthly_forecast_distribution
31,Denims 281,Apparel,402.8,122.9,9147.5,"[np.float64(559.5), np.float64(596.4), np.float64(633.2), np.float64(670.1), np.float64(707.0), np.float64(743.9), np.float64(780.7), np.float64(817.6), np.float64(854.5), np.float64(891.3), np.float64(928.2), np.float64(965.1)]"
32,Green Tea 707,Beverages,352.5,111.6,8095.1,"[np.float64(490.4), np.float64(523.9), np.float64(557.4), np.float64(590.9), np.float64(624.4), np.float64(657.9), np.float64(691.3), np.float64(724.8), np.float64(758.3), np.float64(791.8), np.float64(825.3), np.float64(858.7)]"
33,Earphones 366,Electronics,361.2,148.1,9606.2,"[np.float64(556.2), np.float64(600.6), np.float64(645.0), np.float64(689.4), np.float64(733.9), np.float64(778.3), np.float64(822.7), np.float64(867.2), np.float64(911.6), np.float64(956.0), np.float64(1000.4), np.float64(1044.9)]"
34,Organic Rice 909,Grocery,371.2,79.7,6210.7,"[np.float64(386.0), np.float64(410.0), np.float64(433.9), np.float64(457.8), np.float64(481.7), np.float64(505.6), np.float64(529.5), np.float64(553.4), np.float64(577.3), np.float64(601.2), np.float64(625.2), np.float64(649.1)]"
35,Socks 612,Apparel,366.8,100.9,7468.7,"[np.float64(455.9), np.float64(486.2), np.float64(516.4), np.float64(546.7), np.float64(577.0), np.float64(607.3), np.float64(637.5), np.float64(667.8), np.float64(698.1), np.float64(728.3), np.float64(758.6), np.float64(788.9)]"
36,Cushions 307,Home Decor,343.2,86.5,6792.8,"[np.float64(423.4), np.float64(449.3), np.float64(475.2), np.float64(501.2), np.float64(527.2), np.float64(553.1), np.float64(579.0), np.float64(605.0), np.float64(630.9), np.float64(656.9), np.float64(682.8), np.float64(708.8)]"
37,Vases 866,Home Decor,370.2,103.9,7912.1,"[np.float64(487.9), np.float64(519.1), np.float64(550.2), np.float64(581.4), np.float64(612.6), np.float64(643.8), np.float64(674.9), np.float64(706.1), np.float64(737.3), np.float64(768.4), np.float64(799.6), np.float64(830.8)]"
38,Denims 465,Apparel,327.8,96.7,6779.0,"[np.float64(405.4), np.float64(434.4), np.float64(463.4), np.float64(492.4), np.float64(521.4), np.float64(550.4), np.float64(579.4), np.float64(608.4), np.float64(637.4), np.float64(666.4), np.float64(695.5), np.float64(724.5)]"
39,Caps 673,Apparel,373.5,109.8,8488.4,"[np.float64(526.2), np.float64(559.1), np.float64(592.1), np.float64(625.0), np.float64(658.0), np.float64(690.9), np.float64(723.8), np.float64(756.8), np.float64(789.7), np.float64(822.7), np.float64(855.6), np.float64(888.5)]"
40,Caps 904,Apparel,373.8,127.7,9122.5,"[np.float64(549.5), np.float64(587.8), np.float64(626.1), np.float64(664.4), np.float64(702.7), np.float64(741.1), np.float64(779.4), np.float64(817.7), np.float64(856.0), np.float64(894.3), np.float64(932.6), np.float64(970.9)]"
41,Wheat Flour 369,Grocery,407.0,136.2,9604.7,"[np.float64(575.7), np.float64(616.5), np.float64(657.4), np.float64(698.2), np.float64(739.1), np.float64(780.0), np.float64(820.8), np.float64(861.7), np.float64(902.5), np.float64(943.4), np.float64(984.3), np.float64(1025.1)]"
42,Socks 786,Apparel,382.8,127.7,8970.1,"[np.float64(536.8), np.float64(575.1), np.float64(613.4), np.float64(651.7), np.float64(690.0), np.float64(728.4), np.float64(766.7), np.float64(805.0), np.float64(843.3), np.float64(881.6), np.float64(919.9), np.float64(958.2)]"
43,Mineral Water 567,Beverages,343.2,86.7,6613.9,"[np.float64(408.1), np.float64(434.1), np.float64(460.1), np.float64(486.1), np.float64(512.1), np.float64(538.2), np.float64(564.2), np.float64(590.2), np.float64(616.2), np.float64(642.2), np.float64(668.2), np.float64(694.2)]"
44,Vases 802,Home Decor,390.2,150.5,9931.0,"[np.float64(579.2), np.float64(624.4), np.float64(669.6), np.float64(714.7), np.float64(759.9), np.float64(805.0), np.float64(850.2), np.float64(895.3), np.float64(940.4), np.float64(985.6), np.float64(1030.8), np.float64(1075.9)]"
45,Soft Drinks 714,Beverages,361.0,132.6,9226.2,"[np.float64(550.1), np.float64(589.8), np.float64(629.6), np.float64(669.4), np.float64(709.2), np.float64(749.0), np.float64(788.7), np.float64(828.5), np.float64(868.3), np.float64(908.1), np.float64(947.9), np.float64(987.6)]"
46,Wall Clocks 345,Home Decor,355.0,117.8,8433.9,"[np.float64(508.4), np.float64(543.8), np.float64(579.1), np.float64(614.5), np.float64(649.8), np.float64(685.2), np.float64(720.5), np.float64(755.8), np.float64(791.2), np.float64(826.5), np.float64(861.9), np.float64(897.2)]"
47,Cushions 940,Home Decor,369.8,110.3,8161.7,"[np.float64(498.2), np.float64(531.2), np.float64(564.3), np.float64(597.4), np.float64(630.5), np.float64(663.6), np.float64(696.7), np.float64(729.8), np.float64(762.9), np.float64(796.0), np.float64(829.0), np.float64(862.1)]"
48,Vases 174,Home Decor,347.0,98.8,7530.2,"[np.float64(464.5), np.float64(494.1), np.float64(523.8), np.float64(553.4), np.float64(583.1), np.float64(612.7), np.float64(642.3), np.float64(672.0), np.float64(701.6), np.float64(731.3), np.float64(760.9), np.float64(790.5)]"
49,Denims 916,Apparel,335.0,92.0,6652.8,"[np.float64(402.6), np.float64(430.2), np.float64(457.8), np.float64(485.4), np.float64(513.0), np.float64(540.6), np.float64(568.2), np.float64(595.8), np.float64(623.4), np.float64(651.0), np.float64(678.6), np.float64(706.2)]"
50,Organic Rice 964,Grocery,391.5,125.6,9168.0,"[np.float64(556.8), np.float64(594.4), np.float64(632.1), np.float64(669.8), np.float64(707.5), np.float64(745.2), np.float64(782.8), np.float64(820.5), np.float64(858.2), np.float64(895.9), np.float64(933.6), np.float64(971.2)]"
51,Cooking Oil 503,Grocery,356.8,99.7,7633.3,"[np.float64(471.6), np.float64(501.5), np.float64(531.4), np.float64(561.3), np.float64(591.2), np.float64(621.2), np.float64(651.1), np.float64(681.0), np.float64(710.9), np.float64(740.8), np.float64(770.7), np.float64(800.6)]"
52,Organic Rice 720,Grocery,326.5,118.2,8267.2,"[np.float64(493.9), np.float64(529.4), np.float64(564.8), np.float64(600.3), np.float64(635.7), np.float64(671.2), np.float64(706.7), np.float64(742.1), np.float64(777.6), np.float64(813.0), np.float64(848.5), np.float64(884.0)]"
53,T-Shirts 585,Apparel,403.2,124.3,9139.2,"[np.float64(556.5), np.float64(593.8), np.float64(631.1), np.float64(668.4), np.float64(705.7), np.float64(743.0), np.float64(780.2), np.float64(817.5), np.float64(854.8), np.float64(892.1), np.float64(929.4), np.float64(966.7)]"
54,Wheat Flour 257,Grocery,340.8,92.1,6962.0,"[np.float64(428.2), np.float64(455.8), np.float64(483.5), np.float64(511.1), np.float64(538.7), np.float64(566.4), np.float64(594.0), np.float64(621.6), np.float64(649.2), np.float64(676.9), np.float64(704.5), np.float64(732.1)]"
55,Soft Drinks 731,Beverages,370.2,120.9,8636.8,"[np.float64(520.2), np.float64(556.5), np.float64(592.8), np.float64(629.1), np.float64(665.3), np.float64(701.6), np.float64(737.9), np.float64(774.1), np.float64(810.4), np.float64(846.7), np.float64(883.0), np.float64(919.2)]"
56,Denims 782,Apparel,350.8,91.9,7093.0,"[np.float64(439.4), np.float64(467.0), np.float64(494.6), np.float64(522.2), np.float64(549.7), np.float64(577.3), np.float64(604.9), np.float64(632.4), np.float64(660.0), np.float64(687.6), np.float64(715.2), np.float64(742.7)]"
57,Vases 983,Home Decor,370.8,136.5,9407.3,"[np.float64(558.7), np.float64(599.7), np.float64(640.6), np.float64(681.6), np.float64(722.5), np.float64(763.4), np.float64(804.4), np.float64(845.4), np.float64(886.3), np.float64(927.3), np.float64(968.2), np.float64(1009.2)]"
58,Power Banks 451,Electronics,377.0,131.4,8921.5,"[np.float64(526.6), np.float64(566.1), np.float64(605.5), np.float64(644.9), np.float64(684.3), np.float64(723.8), np.float64(763.2), np.float64(802.6), np.float64(842.0), np.float64(881.4), np.float64(920.8), np.float64(960.3)]"
59,LED bulbs 352,Home Decor,404.8,122.9,9322.6,"[np.float64(574.1), np.float64(611.0), np.float64(647.8), np.float64(684.7), np.float64(721.6), np.float64(758.4), np.float64(795.3), np.float64(832.2), np.float64(869.1), np.float64(905.9), np.float64(942.8), np.float64(979.7)]"
60,Socks 973,Apparel,389.0,108.4,8310.7,"[np.float64(513.7), np.float64(546.2), np.float64(578.7), np.float64(611.3), np.float64(643.8), np.float64(676.3), np.float64(708.8), np.float64(741.3), np.float64(773.9), np.float64(806.4), np.float64(838.9), np.float64(871.4)]"
61,Cooking Oil 738,Grocery,395.8,132.7,9530.5,"[np.float64(575.2), np.float64(615.1), np.float64(654.9), np.float64(694.7), np.float64(734.5), np.float64(774.3), np.float64(814.1), np.float64(853.9), np.float64(893.7), np.float64(933.5), np.float64(973.4), np.float64(1013.2)]"
62,Mineral Water 901,Beverages,384.5,126.6,8978.3,"[np.float64(539.3), np.float64(577.3), np.float64(615.3), np.float64(653.2), np.float64(691.2), np.float64(729.2), np.float64(767.2), np.float64(805.2), np.float64(843.1), np.float64(881.1), np.float64(919.1), np.float64(957.1)]"
63,T-Shirts 520,Apparel,384.8,131.1,9310.4,"[np.float64(559.6), np.float64(598.9), np.float64(638.2), np.float64(677.5), np.float64(716.9), np.float64(756.2), np.float64(795.5), np.float64(834.9), np.float64(874.2), np.float64(913.5), np.float64(952.8), np.float64(992.2)]"
64,Fruit Juices 548,Beverages,389.0,128.0,8908.8,"[np.float64(531.2), np.float64(569.6), np.float64(608.0), np.float64(646.4), np.float64(684.8), np.float64(723.2), np.float64(761.6), np.float64(800.0), np.float64(838.4), np.float64(876.8), np.float64(915.2), np.float64(953.6)]"
65,Power Banks 597,Electronics,394.8,161.9,10829.8,"[np.float64(635.4), np.float64(683.9), np.float64(732.5), np.float64(781.1), np.float64(829.6), np.float64(878.2), np.float64(926.8), np.float64(975.3), np.float64(1023.9), np.float64(1072.5), np.float64(1121.0), np.float64(1169.6)]"
66,Denims 698,Apparel,358.8,80.3,6771.0,"[np.float64(431.8), np.float64(455.8), np.float64(479.9), np.float64(504.0), np.float64(528.1), np.float64(552.2), np.float64(576.3), np.float64(600.4), np.float64(624.5), np.float64(648.6), np.float64(672.7), np.float64(696.7)]"
67,Power Banks 102,Electronics,346.8,105.1,8097.3,"[np.float64(501.4), np.float64(532.9), np.float64(564.4), np.float64(595.9), np.float64(627.5), np.float64(659.0), np.float64(690.5), np.float64(722.1), np.float64(753.6), np.float64(785.1), np.float64(816.7), np.float64(848.2)]"
68,Caps 745,Apparel,374.5,106.2,8010.4,"[np.float64(492.3), np.float64(524.2), np.float64(556.0), np.float64(587.9), np.float64(619.7), np.float64(651.6), np.float64(683.5), np.float64(715.3), np.float64(747.2), np.float64(779.0), np.float64(810.9), np.float64(842.8)]"
69,USB Cables 559,Electronics,360.0,106.8,8177.0,"[np.float64(505.2), np.float64(537.2), np.float64(569.3), np.float64(601.3), np.float64(633.4), np.float64(665.4), np.float64(697.4), np.float64(729.5), np.float64(761.5), np.float64(793.6), np.float64(825.6), np.float64(857.6)]"
70,Smart plugs 482,Electronics,376.5,102.2,7927.6,"[np.float64(492.0), np.float64(522.7), np.float64(553.3), np.float64(584.0), np.float64(614.6), np.float64(645.3), np.float64(676.0), np.float64(706.6), np.float64(737.3), np.float64(767.9), np.float64(798.6), np.float64(829.3)]"
71,LED bulbs 565,Home Decor,384.0,116.0,8704.8,"[np.float64(534.0), np.float64(568.8), np.float64(603.6), np.float64(638.4), np.float64(673.2), np.float64(708.0), np.float64(742.8), np.float64(777.6), np.float64(812.4), np.float64(847.2), np.float64(882.0), np.float64(916.8)]"
72,Mineral Water 808,Beverages,373.8,85.1,6954.8,"[np.float64(439.2), np.float64(464.7), np.float64(490.2), np.float64(515.7), np.float64(541.3), np.float64(566.8), np.float64(592.3), np.float64(617.9), np.float64(643.4), np.float64(668.9), np.float64(694.4), np.float64(720.0)]"
73,Socks 579,Apparel,364.0,105.0,7568.5,"[np.float64(457.4), np.float64(489.0), np.float64(520.4), np.float64(552.0), np.float64(583.4), np.float64(615.0), np.float64(646.4), np.float64(678.0), np.float64(709.4), np.float64(741.0), np.float64(772.5), np.float64(804.0)]"
74,Cushions 166,Home Decor,335.5,90.8,7166.2,"[np.float64(447.4), np.float64(474.6), np.float64(501.8), np.float64(529.1), np.float64(556.3), np.float64(583.6), np.float64(610.8), np.float64(638.0), np.float64(665.3), np.float64(692.5), np.float64(719.8), np.float64(747.0)]"
75,Fruit Juices 148,Beverages,373.2,144.3,10035.5,"[np.float64(598.2), np.float64(641.5), np.float64(684.8), np.float64(728.1), np.float64(771.4), np.float64(814.6), np.float64(857.9), np.float64(901.2), np.float64(944.5), np.float64(987.8), np.float64(1031.1), np.float64(1074.4)]"
76,Green Tea 336,Beverages,332.0,106.0,7717.2,"[np.float64(468.2), np.float64(500.0), np.float64(531.8), np.float64(563.6), np.float64(595.4), np.float64(627.2), np.float64(659.0), np.float64(690.8), np.float64(722.6), np.float64(754.4), np.float64(786.2), np.float64(818.0)]"
77,Vases 799,Home Decor,364.5,106.6,7826.3,"[np.float64(476.3), np.float64(508.3), np.float64(540.3), np.float64(572.2), np.float64(604.2), np.float64(636.2), np.float64(668.2), np.float64(700.2), np.float64(732.1), np.float64(764.1), np.float64(796.1), np.float64(828.1)]"
78,Earphones 403,Electronics,365.2,126.3,9076.7,"[np.float64(548.0), np.float64(585.9), np.float64(623.8), np.float64(661.7), np.float64(699.6), np.float64(737.4), np.float64(775.3), np.float64(813.2), np.float64(851.1), np.float64(889.0), np.float64(926.9), np.float64(964.8)]"
79,Wall Clocks 375,Home Decor,363.5,112.0,8263.4,"[np.float64(503.8), np.float64(537.4), np.float64(571.0), np.float64(604.7), np.float64(638.2), np.float64(671.8), np.float64(705.4), np.float64(739.0), np.float64(772.7), np.float64(806.2), np.float64(839.8), np.float64(873.4)]"
80,Wheat Flour 602,Grocery,324.5,96.0,7058.4,"[np.float64(429.8), np.float64(458.6), np.float64(487.4), np.float64(516.2), np.float64(545.0), np.float64(573.8), np.float64(602.6), np.float64(631.4), np.float64(660.2), np.float64(689.0), np.float64(717.8), np.float64(746.6)]"
81,Wall Clocks 459,Home Decor,381.5,132.6,9501.5,"[np.float64(573.0), np.float64(612.8), np.float64(652.6), np.float64(692.3), np.float64(732.1), np.float64(771.9), np.float64(811.7), np.float64(851.5), np.float64(891.2), np.float64(931.0), np.float64(970.8), np.float64(1010.6)]"
82,Soft Drinks 266,Beverages,374.8,90.7,7447.4,"[np.float64(471.0), np.float64(498.2), np.float64(525.4), np.float64(552.6), np.float64(579.8), np.float64(607.0), np.float64(634.2), np.float64(661.4), np.float64(688.6), np.float64(715.8), np.float64(743.1), np.float64(770.3)]"
83,Cooking Oil 431,Grocery,359.5,78.8,6193.0,"[np.float64(386.1), np.float64(409.7), np.float64(433.3), np.float64(457.0), np.float64(480.6), np.float64(504.3), np.float64(527.9), np.float64(551.5), np.float64(575.2), np.float64(598.8), np.float64(622.5), np.float64(646.1)]"
84,Wheat Flour 206,Grocery,374.5,134.0,9289.2,"[np.float64(553.0), np.float64(593.2), np.float64(633.4), np.float64(673.6), np.float64(713.8), np.float64(754.0), np.float64(794.2), np.float64(834.4), np.float64(874.6), np.float64(914.8), np.float64(955.0), np.float64(995.2)]"
85,Cooking Oil 394,Grocery,369.2,66.7,6089.5,"[np.float64(397.4), np.float64(417.4), np.float64(437.4), np.float64(457.4), np.float64(477.4), np.float64(497.5), np.float64(517.5), np.float64(537.5), np.float64(557.5), np.float64(577.5), np.float64(597.5), np.float64(617.5)]"
86,Earphones 551,Electronics,417.0,120.0,8880.0,"[np.float64(542.0), np.float64(578.0), np.float64(614.0), np.float64(650.0), np.float64(686.0), np.float64(722.0), np.float64(758.0), np.float64(794.0), np.float64(830.0), np.float64(866.0), np.float64(902.0), np.float64(938.0)]"
87,Caps 324,Apparel,316.2,117.9,8641.6,"[np.float64(525.6), np.float64(561.0), np.float64(596.3), np.float64(631.7), np.float64(667.1), np.float64(702.4), np.float64(737.8), np.float64(773.2), np.float64(808.6), np.float64(843.9), np.float64(879.3), np.float64(914.7)]"
88,Smart plugs 537,Electronics,332.5,103.0,7725.0,"[np.float64(473.8), np.float64(504.7), np.float64(535.6), np.float64(566.5), np.float64(597.4), np.float64(628.3), np.float64(659.2), np.float64(690.1), np.float64(721.0), np.float64(751.9), np.float64(782.8), np.float64(813.7)]"
89,Cooking Oil 830,Grocery,385.5,105.6,7973.9,"[np.float64(490.2), np.float64(521.9), np.float64(553.6), np.float64(585.3), np.float64(617.0), np.float64(648.7), np.float64(680.3), np.float64(712.0), np.float64(743.7), np.float64(775.4), np.float64(807.1), np.float64(838.7)]"
90,Organic Rice 483,Grocery,387.0,117.6,8534.9,"[np.float64(517.2), np.float64(552.5), np.float64(587.8), np.float64(623.0), np.float64(658.3), np.float64(693.6), np.float64(728.9), np.float64(764.2), np.float64(799.4), np.float64(834.7), np.float64(870.0), np.float64(905.3)]"
91,Socks 809,Apparel,376.8,85.1,7234.4,"[np.float64(462.4), np.float64(488.0), np.float64(513.5), np.float64(539.0), np.float64(564.6), np.float64(590.1), np.float64(615.6), np.float64(641.2), np.float64(666.7), np.float64(692.2), np.float64(717.8), np.float64(743.3)]"
92,Fruit Juices 647,Beverages,368.5,91.0,7366.2,"[np.float64(463.7), np.float64(491.0), np.float64(518.3), np.float64(545.6), np.float64(572.9), np.float64(600.2), np.float64(627.5), np.float64(654.8), np.float64(682.1), np.float64(709.4), np.float64(736.7), np.float64(764.0)]"
93,Cushions 215,Home Decor,358.0,127.0,8609.3,"[np.float64(507.8), np.float64(546.0), np.float64(584.1), np.float64(622.2), np.float64(660.3), np.float64(698.4), np.float64(736.5), np.float64(774.6), np.float64(812.7), np.float64(850.8), np.float64(888.9), np.float64(927.0)]"
94,T-Shirts 651,Apparel,326.0,96.4,7225.9,"[np.float64(443.1), np.float64(472.0), np.float64(500.9), np.float64(529.9), np.float64(558.8), np.float64(587.7), np.float64(616.6), np.float64(645.5), np.float64(674.5), np.float64(703.4), np.float64(732.3), np.float64(761.2)]"
95,Organic Rice 883,Grocery,335.8,103.5,7667.4,"[np.float64(468.2), np.float64(499.2), np.float64(530.3), np.float64(561.3), np.float64(592.4), np.float64(623.4), np.float64(654.5), np.float64(685.5), np.float64(716.6), np.float64(747.6), np.float64(778.7), np.float64(809.7)]"
96,Wall Clocks 699,Home Decor,324.0,101.0,7385.1,"[np.float64(448.8), np.float64(479.0), np.float64(509.4), np.float64(539.7), np.float64(570.0), np.float64(600.2), np.float64(630.6), np.float64(660.9), np.float64(691.2), np.float64(721.4), np.float64(751.8), np.float64(782.1)]"
97,Mineral Water 521,Beverages,333.8,102.7,7141.3,"[np.float64(425.6), np.float64(456.5), np.float64(487.3), np.float64(518.1), np.float64(548.9), np.float64(579.7), np.float64(610.5), np.float64(641.3), np.float64(672.1), np.float64(702.9), np.float64(733.8), np.float64(764.6)]"
98,Smart plugs 430,Electronics,361.5,117.8,8297.6,"[np.float64(497.1), np.float64(532.4), np.float64(567.8), np.float64(603.1), np.float64(638.5), np.float64(673.8), np.float64(709.1), np.float64(744.5), np.float64(779.8), np.float64(815.2), np.float64(850.5), np.float64(885.8)]"
