order_id,customer_id,session_id,order_timestamp,subtotal_amount,tax_amount,discount_amount,total_order_amount,payment_method
ORDER_00017,CUST_0011,SESS_247296,2026-01-07 00:00:00,4963.36,248.17,0.0,5211.53,UPI
ORDER_00018,CUST_0011,SESS_153224,2026-02-05 00:00:00,9252.45,462.62,0.0,9715.07,PayPal
ORDER_00019,CUST_0013,SESS_842869,2026-02-11 00:00:00,10211.95,510.6,0.0,10722.55,NetBanking
ORDER_00020,CUST_0013,SESS_791403,2026-03-27 00:00:00,4428.38,188.21,664.26,3952.33,UPI
ORDER_00021,CUST_0013,SESS_986539,2026-05-13 00:00:00,348.8,14.82,52.32,311.3,PayPal
ORDER_00022,CUST_0014,SESS_458344,2026-02-17 00:00:00,2370.93,118.55,0.0,2489.48,UPI
ORDER_00023,CUST_0015,SESS_387333,2026-05-05 00:00:00,6370.87,318.54,0.0,6689.41,PayPal
ORDER_00024,CUST_0015,SESS_132363,2026-05-01 00:00:00,10210.31,510.52,0.0,10720.83,PayPal
ORDER_00025,CUST_0016,SESS_637748,2026-03-27 00:00:00,2536.05,126.8,0.0,2662.85,Credit Card
ORDER_00026,CUST_0018,SESS_499955,2026-02-20 00:00:00,3827.64,162.67,574.15,3416.16,Credit Card
ORDER_00027,CUST_0018,SESS_191620,2026-03-13 00:00:00,1495.21,63.55,224.28,1334.48,PayPal
ORDER_00028,CUST_0018,SESS_908070,2026-04-20 00:00:00,8877.0,443.85,0.0,9320.85,NetBanking
ORDER_00029,CUST_0019,SESS_110784,2026-03-16 00:00:00,442.97,22.15,0.0,465.12,PayPal
ORDER_00030,CUST_0019,SESS_435076,2026-05-09 00:00:00,6873.6,343.68,0.0,7217.28,UPI
ORDER_00031,CUST_0021,SESS_866844,2026-03-23 00:00:00,4100.45,205.02,0.0,4305.47,NetBanking
ORDER_00032,CUST_0022,SESS_730241,2026-03-02 00:00:00,1974.64,83.92,296.2,1762.36,PayPal
ORDER_00033,CUST_0024,SESS_693361,2026-01-27 00:00:00,1962.3,83.4,294.34,1751.36,UPI
ORDER_00034,CUST_0024,SESS_430705,2026-03-24 00:00:00,8893.57,444.68,0.0,9338.25,UPI
ORDER_00035,CUST_0025,SESS_482806,2026-02-04 00:00:00,1858.46,78.98,278.77,1658.67,PayPal
ORDER_00036,CUST_0025,SESS_208482,2026-02-20 00:00:00,5703.23,242.39,855.48,5090.14,NetBanking
ORDER_00037,CUST_0025,SESS_984015,2026-04-12 00:00:00,10550.88,527.54,0.0,11078.42,Credit Card
ORDER_00038,CUST_0026,SESS_285306,2026-02-13 00:00:00,5124.5,256.23,0.0,5380.73,Credit Card
ORDER_00039,CUST_0026,SESS_792960,2026-03-19 00:00:00,6306.21,268.01,945.93,5628.29,UPI
ORDER_00040,CUST_0027,SESS_541726,2026-04-20 00:00:00,7870.5,393.53,0.0,8264.03,UPI
ORDER_00041,CUST_0027,SESS_642439,2026-05-11 00:00:00,9457.66,472.88,0.0,9930.54,Credit Card
ORDER_00042,CUST_0028,SESS_217189,2026-01-24 00:00:00,888.59,44.43,0.0,933.02,PayPal
ORDER_00043,CUST_0028,SESS_117777,2026-03-23 00:00:00,8986.55,449.33,0.0,9435.88,PayPal
ORDER_00044,CUST_0030,SESS_602450,2026-03-19 00:00:00,10250.75,512.54,0.0,10763.29,UPI
ORDER_00045,CUST_0031,SESS_241086,2026-03-23 00:00:00,5485.15,274.26,0.0,5759.41,UPI
ORDER_00046,CUST_0033,SESS_141883,2026-03-06 00:00:00,11976.49,509.0,1796.47,10689.02,NetBanking
ORDER_00047,CUST_0036,SESS_793546,2026-02-10 00:00:00,11070.52,553.53,0.0,11624.05,UPI
ORDER_00048,CUST_0036,SESS_503657,2026-03-11 00:00:00,4608.77,230.44,0.0,4839.21,UPI
ORDER_00049,CUST_0036,SESS_184180,2026-04-13 00:00:00,10381.77,519.09,0.0,10900.86,PayPal
ORDER_00050,CUST_0037,SESS_509549,2026-05-01 00:00:00,6917.33,345.87,0.0,7263.2,NetBanking
ORDER_00051,CUST_0038,SESS_789916,2026-02-06 00:00:00,3919.11,195.96,0.0,4115.07,Credit Card
ORDER_00052,CUST_0039,SESS_372585,2026-02-12 00:00:00,9867.05,493.35,0.0,10360.4,NetBanking
ORDER_00053,CUST_0040,SESS_118278,2026-03-30 00:00:00,2358.48,117.92,0.0,2476.4,PayPal
ORDER_00054,CUST_0040,SESS_996643,2026-05-02 00:00:00,4402.81,220.14,0.0,4622.95,PayPal
ORDER_00055,CUST_0041,SESS_955509,2026-03-26 00:00:00,2377.64,101.05,356.65,2122.04,NetBanking
ORDER_00056,CUST_0041,SESS_760961,2026-04-13 00:00:00,808.53,40.43,0.0,848.96,Credit Card
ORDER_00057,CUST_0042,SESS_315774,2026-04-10 00:00:00,6874.17,343.71,0.0,7217.88,Credit Card
ORDER_00058,CUST_0042,SESS_782656,2026-04-29 00:00:00,6791.41,339.57,0.0,7130.98,PayPal
ORDER_00059,CUST_0043,SESS_508587,2026-02-18 00:00:00,5309.46,265.47,0.0,5574.93,Credit Card
ORDER_00060,CUST_0043,SESS_799919,2026-03-07 00:00:00,5122.84,256.14,0.0,5378.98,UPI
ORDER_00061,CUST_0044,SESS_937084,2026-03-20 00:00:00,2393.23,119.66,0.0,2512.89,PayPal
ORDER_00062,CUST_0045,SESS_599791,2026-05-03 00:00:00,6391.48,271.64,958.72,5704.4,Credit Card
ORDER_00063,CUST_0045,SESS_568105,2026-05-10 00:00:00,9555.38,477.77,0.0,10033.15,NetBanking
ORDER_00064,CUST_0046,SESS_760746,2026-02-21 00:00:00,1008.78,50.44,0.0,1059.22,UPI
ORDER_00065,CUST_0047,SESS_276227,2026-04-12 00:00:00,3780.05,189.0,0.0,3969.05,Credit Card
ORDER_00066,CUST_0047,SESS_356211,2026-05-10 00:00:00,11203.21,560.16,0.0,11763.37,NetBanking
ORDER_00067,CUST_0048,SESS_313659,2026-03-07 00:00:00,4206.24,210.31,0.0,4416.55,UPI
ORDER_00068,CUST_0048,SESS_276611,2026-04-15 00:00:00,1948.19,97.41,0.0,2045.6,PayPal
ORDER_00069,CUST_0048,SESS_187033,2026-05-11 00:00:00,5934.19,252.2,890.13,5296.26,UPI
ORDER_00070,CUST_0049,SESS_618748,2026-02-27 00:00:00,7571.8,378.59,0.0,7950.39,PayPal
ORDER_00071,CUST_0050,SESS_160108,2026-01-31 00:00:00,10757.22,537.86,0.0,11295.08,PayPal
ORDER_00072,CUST_0050,SESS_211937,2026-03-07 00:00:00,5762.26,288.11,0.0,6050.37,UPI
ORDER_00073,CUST_0050,SESS_881227,2026-04-16 00:00:00,7783.78,330.81,1167.57,6947.02,PayPal
ORDER_00074,CUST_0053,SESS_291549,2026-03-13 00:00:00,1492.56,74.63,0.0,1567.19,UPI
ORDER_00075,CUST_0054,SESS_113176,2026-01-22 00:00:00,5848.97,292.45,0.0,6141.42,Credit Card
ORDER_00076,CUST_0056,SESS_855510,2026-04-05 00:00:00,9878.91,493.95,0.0,10372.86,Credit Card
ORDER_00077,CUST_0056,SESS_793311,2026-04-27 00:00:00,252.29,12.61,0.0,264.9,PayPal
ORDER_00078,CUST_0057,SESS_641013,2026-03-13 00:00:00,11172.47,474.83,1675.87,9971.43,PayPal
ORDER_00079,CUST_0057,SESS_535622,2026-04-01 00:00:00,1792.17,89.61,0.0,1881.78,PayPal
ORDER_00080,CUST_0058,SESS_308159,2026-05-13 00:00:00,10590.26,529.51,0.0,11119.77,NetBanking
ORDER_00081,CUST_0060,SESS_431149,2026-02-04 00:00:00,4101.38,205.07,0.0,4306.45,Credit Card
ORDER_00082,CUST_0060,SESS_233288,2026-02-20 00:00:00,8355.6,355.11,1253.34,7457.37,PayPal
ORDER_00083,CUST_0061,SESS_894615,2026-04-05 00:00:00,485.44,24.27,0.0,509.71,Credit Card
ORDER_00084,CUST_0061,SESS_134370,2026-04-20 00:00:00,5558.87,277.94,0.0,5836.81,Credit Card
ORDER_00085,CUST_0062,SESS_728226,2026-03-01 00:00:00,7881.5,394.08,0.0,8275.58,NetBanking
ORDER_00086,CUST_0062,SESS_483878,2026-03-28 00:00:00,1292.99,64.65,0.0,1357.64,NetBanking
ORDER_00087,CUST_0062,SESS_993832,2026-04-09 00:00:00,5610.07,280.5,0.0,5890.57,PayPal
ORDER_00088,CUST_0063,SESS_990535,2026-01-23 00:00:00,1009.81,50.49,0.0,1060.3,NetBanking
ORDER_00089,CUST_0063,SESS_749541,2026-03-03 00:00:00,9369.69,398.21,1405.45,8362.45,UPI
ORDER_00090,CUST_0063,SESS_356229,2026-03-21 00:00:00,9104.57,455.23,0.0,9559.8,NetBanking
ORDER_00091,CUST_0065,SESS_564361,2026-02-23 00:00:00,11421.93,571.1,0.0,11993.03,PayPal
ORDER_00092,CUST_0066,SESS_967665,2026-03-21 00:00:00,6171.04,308.55,0.0,6479.59,UPI
ORDER_00093,CUST_0067,SESS_423588,2026-03-21 00:00:00,5351.08,267.55,0.0,5618.63,NetBanking
ORDER_00094,CUST_0068,SESS_386938,2026-01-18 00:00:00,6788.2,339.41,0.0,7127.61,NetBanking
ORDER_00095,CUST_0069,SESS_565508,2026-02-21 00:00:00,3768.8,160.17,565.32,3363.65,UPI
ORDER_00096,CUST_0069,SESS_229580,2026-03-28 00:00:00,4720.07,200.6,708.01,4212.66,UPI
ORDER_00097,CUST_0071,SESS_444794,2026-03-15 00:00:00,6062.36,257.65,909.35,5410.66,PayPal
ORDER_00098,CUST_0072,SESS_530851,2026-03-25 00:00:00,9027.87,451.39,0.0,9479.26,Credit Card
ORDER_00099,CUST_0072,SESS_494929,2026-04-25 00:00:00,3683.25,184.16,0.0,3867.41,NetBanking
ORDER_00100,CUST_0074,SESS_368677,2026-03-28 00:00:00,10556.03,527.8,0.0,11083.83,UPI
ORDER_00101,CUST_0074,SESS_516310,2026-05-04 00:00:00,7799.94,390.0,0.0,8189.94,NetBanking
ORDER_00102,CUST_0075,SESS_641643,2026-02-03 00:00:00,1078.11,53.91,0.0,1132.02,Credit Card
ORDER_00103,CUST_0075,SESS_207113,2026-02-18 00:00:00,6090.54,258.85,913.58,5435.81,UPI
ORDER_00104,CUST_0076,SESS_762231,2026-05-02 00:00:00,10429.19,521.46,0.0,10950.65,UPI
ORDER_00105,CUST_0078,SESS_804995,2026-03-09 00:00:00,10644.12,532.21,0.0,11176.33,PayPal
ORDER_00106,CUST_0078,SESS_723294,2026-03-29 00:00:00,11808.17,590.41,0.0,12398.58,UPI
ORDER_00107,CUST_0079,SESS_983261,2026-04-04 00:00:00,2125.39,90.33,318.81,1896.91,Credit Card
ORDER_00108,CUST_0083,SESS_488992,2026-03-05 00:00:00,1602.3,80.12,0.0,1682.42,UPI
ORDER_00109,CUST_0085,SESS_553278,2026-03-09 00:00:00,5742.73,287.14,0.0,6029.87,Credit Card
ORDER_00110,CUST_0086,SESS_423860,2026-03-14 00:00:00,4473.58,223.68,0.0,4697.26,NetBanking
ORDER_00111,CUST_0087,SESS_893403,2026-02-27 00:00:00,4499.12,224.96,0.0,4724.08,PayPal
ORDER_00112,CUST_0087,SESS_585670,2026-03-23 00:00:00,438.57,21.93,0.0,460.5,UPI
ORDER_00113,CUST_0088,SESS_939868,2026-03-08 00:00:00,1535.51,76.78,0.0,1612.29,Credit Card
ORDER_00114,CUST_0088,SESS_340304,2026-04-04 00:00:00,6534.01,326.7,0.0,6860.71,Credit Card
ORDER_00115,CUST_0089,SESS_263311,2026-01-20 00:00:00,2903.19,123.39,435.48,2591.1,Credit Card
ORDER_00116,CUST_0089,SESS_111362,2026-02-19 00:00:00,3982.59,199.13,0.0,4181.72,PayPal
ORDER_00117,CUST_0090,SESS_745800,2026-01-27 00:00:00,2367.68,118.38,0.0,2486.06,NetBanking
ORDER_00118,CUST_0090,SESS_273280,2026-02-25 00:00:00,4894.87,208.03,734.23,4368.67,UPI
ORDER_00119,CUST_0091,SESS_481825,2026-03-05 00:00:00,7535.62,320.26,1130.34,6725.54,NetBanking
ORDER_00120,CUST_0093,SESS_131889,2026-02-20 00:00:00,2963.1,148.16,0.0,3111.26,Credit Card
ORDER_00121,CUST_0094,SESS_513830,2026-04-02 00:00:00,3820.35,191.02,0.0,4011.37,UPI
ORDER_00122,CUST_0094,SESS_366216,2026-04-29 00:00:00,4210.6,210.53,0.0,4421.13,UPI
ORDER_00123,CUST_0094,SESS_511743,2026-05-25 00:00:00,2410.86,120.54,0.0,2531.4,NetBanking
ORDER_00124,CUST_0096,SESS_391501,2026-03-12 00:00:00,3186.55,159.33,0.0,3345.88,NetBanking
ORDER_00125,CUST_0097,SESS_350870,2026-02-28 00:00:00,444.62,22.23,0.0,466.85,Credit Card
ORDER_00126,CUST_0097,SESS_793527,2026-03-10 00:00:00,6161.66,261.87,924.25,5499.28,Credit Card
ORDER_00127,CUST_0098,SESS_855114,2026-04-14 00:00:00,10386.67,519.33,0.0,10906.0,UPI
ORDER_00128,CUST_0098,SESS_723292,2026-05-18 00:00:00,5872.8,293.64,0.0,6166.44,NetBanking
ORDER_00129,CUST_0100,SESS_861936,2026-02-10 00:00:00,5839.59,291.98,0.0,6131.57,UPI
ORDER_00130,CUST_0101,SESS_457152,2026-01-31 00:00:00,9428.57,471.43,0.0,9900.0,UPI
ORDER_00131,CUST_0102,SESS_717243,2026-02-11 00:00:00,3775.77,188.79,0.0,3964.56,NetBanking
ORDER_00132,CUST_0102,SESS_861332,2026-03-01 00:00:00,8438.98,421.95,0.0,8860.93,NetBanking
ORDER_00133,CUST_0102,SESS_100757,2026-03-17 00:00:00,11171.73,474.8,1675.76,9970.77,PayPal
ORDER_00134,CUST_0103,SESS_330540,2026-02-17 00:00:00,3749.39,187.47,0.0,3936.86,NetBanking
ORDER_00135,CUST_0103,SESS_597192,2026-03-10 00:00:00,2597.58,110.4,389.64,2318.34,Credit Card
ORDER_00136,CUST_0104,SESS_155716,2026-04-29 00:00:00,11514.13,575.71,0.0,12089.84,Credit Card
ORDER_00137,CUST_0106,SESS_641842,2026-04-25 00:00:00,7350.64,312.4,1102.6,6560.44,UPI
ORDER_00138,CUST_0107,SESS_225872,2026-03-27 00:00:00,1788.09,75.99,268.21,1595.87,UPI
ORDER_00139,CUST_0108,SESS_573492,2026-03-05 00:00:00,1888.48,94.42,0.0,1982.9,PayPal
ORDER_00140,CUST_0109,SESS_427988,2026-03-20 00:00:00,8541.31,427.07,0.0,8968.38,NetBanking
ORDER_00141,CUST_0109,SESS_958549,2026-04-02 00:00:00,10453.02,522.65,0.0,10975.67,UPI
ORDER_00142,CUST_0110,SESS_359634,2026-03-22 00:00:00,9004.21,450.21,0.0,9454.42,NetBanking
ORDER_00143,CUST_0110,SESS_485903,2026-04-24 00:00:00,1291.83,54.9,193.77,1152.96,UPI
ORDER_00144,CUST_0110,SESS_930369,2026-05-18 00:00:00,2697.81,134.89,0.0,2832.7,PayPal
ORDER_00145,CUST_0111,SESS_740928,2026-05-01 00:00:00,10483.39,524.17,0.0,11007.56,Credit Card
ORDER_00146,CUST_0112,SESS_221680,2026-04-20 00:00:00,7488.2,374.41,0.0,7862.61,UPI
ORDER_00147,CUST_0113,SESS_764801,2026-04-10 00:00:00,10006.46,500.32,0.0,10506.78,NetBanking
ORDER_00148,CUST_0114,SESS_446603,2026-01-22 00:00:00,4248.01,212.4,0.0,4460.41,PayPal
ORDER_00149,CUST_0114,SESS_368436,2026-03-23 00:00:00,3985.73,199.29,0.0,4185.02,Credit Card
ORDER_00150,CUST_0115,SESS_655665,2026-03-09 00:00:00,10750.1,537.5,0.0,11287.6,NetBanking
ORDER_00151,CUST_0115,SESS_519983,2026-03-20 00:00:00,3949.23,167.84,592.38,3524.69,PayPal
ORDER_00152,CUST_0115,SESS_305169,2026-04-11 00:00:00,11466.51,573.33,0.0,12039.84,UPI
ORDER_00153,CUST_0119,SESS_755017,2026-04-02 00:00:00,11485.23,574.26,0.0,12059.49,UPI
ORDER_00154,CUST_0120,SESS_242571,2026-03-17 00:00:00,11762.83,588.14,0.0,12350.97,PayPal
ORDER_00155,CUST_0121,SESS_301769,2026-04-30 00:00:00,7446.07,372.3,0.0,7818.37,Credit Card
ORDER_00156,CUST_0121,SESS_751250,2026-05-21 00:00:00,8511.7,425.59,0.0,8937.29,PayPal
ORDER_00157,CUST_0122,SESS_915573,2026-05-07 00:00:00,8277.51,413.88,0.0,8691.39,Credit Card
ORDER_00158,CUST_0122,SESS_763430,2026-05-19 00:00:00,8740.4,437.02,0.0,9177.42,PayPal
ORDER_00159,CUST_0123,SESS_455742,2026-04-22 00:00:00,8964.79,448.24,0.0,9413.03,NetBanking
ORDER_00160,CUST_0123,SESS_759259,2026-05-02 00:00:00,3122.44,156.12,0.0,3278.56,Credit Card
ORDER_00161,CUST_0124,SESS_331507,2026-02-11 00:00:00,5494.99,274.75,0.0,5769.74,Credit Card
ORDER_00162,CUST_0125,SESS_332643,2026-04-02 00:00:00,8633.45,366.92,1295.02,7705.35,PayPal
ORDER_00163,CUST_0125,SESS_815616,2026-04-28 00:00:00,4884.5,207.59,732.67,4359.42,Credit Card
ORDER_00164,CUST_0126,SESS_236602,2026-01-28 00:00:00,1455.19,72.76,0.0,1527.95,UPI
ORDER_00165,CUST_0126,SESS_408340,2026-03-11 00:00:00,5570.71,278.54,0.0,5849.25,PayPal
ORDER_00166,CUST_0126,SESS_341210,2026-04-14 00:00:00,9402.27,470.11,0.0,9872.38,NetBanking
ORDER_00167,CUST_0127,SESS_258500,2026-04-18 00:00:00,4091.22,173.88,613.68,3651.42,PayPal
ORDER_00168,CUST_0128,SESS_966543,2026-05-10 00:00:00,5006.25,212.77,750.94,4468.08,PayPal
ORDER_00169,CUST_0129,SESS_354859,2026-02-04 00:00:00,1086.56,54.33,0.0,1140.89,NetBanking
ORDER_00170,CUST_0129,SESS_469056,2026-03-15 00:00:00,1105.0,55.25,0.0,1160.25,UPI
ORDER_00171,CUST_0130,SESS_594152,2026-04-21 00:00:00,6128.77,306.44,0.0,6435.21,UPI
ORDER_00172,CUST_0133,SESS_725519,2026-02-17 00:00:00,11219.21,560.96,0.0,11780.17,Credit Card
ORDER_00173,CUST_0133,SESS_488642,2026-02-26 00:00:00,10384.73,519.24,0.0,10903.97,PayPal
ORDER_00174,CUST_0133,SESS_494570,2026-03-22 00:00:00,7143.2,303.59,1071.48,6375.31,UPI
ORDER_00175,CUST_0134,SESS_885218,2026-04-08 00:00:00,11223.68,561.18,0.0,11784.86,Credit Card
ORDER_00176,CUST_0135,SESS_215003,2026-04-06 00:00:00,2881.96,122.48,432.29,2572.15,NetBanking
ORDER_00177,CUST_0136,SESS_521658,2026-04-13 00:00:00,10163.63,508.18,0.0,10671.81,NetBanking
ORDER_00178,CUST_0136,SESS_947346,2026-04-20 00:00:00,9081.23,454.06,0.0,9535.29,Credit Card
ORDER_00179,CUST_0137,SESS_163359,2026-03-08 00:00:00,8433.77,421.69,0.0,8855.46,UPI
ORDER_00180,CUST_0138,SESS_738414,2026-04-25 00:00:00,1001.76,42.58,150.26,894.08,Credit Card
ORDER_00181,CUST_0139,SESS_864415,2026-03-07 00:00:00,6675.98,333.8,0.0,7009.78,UPI
ORDER_00182,CUST_0139,SESS_403414,2026-04-11 00:00:00,6896.91,293.12,1034.54,6155.49,Credit Card
ORDER_00183,CUST_0140,SESS_746173,2026-03-02 00:00:00,6082.82,304.14,0.0,6386.96,NetBanking
ORDER_00184,CUST_0140,SESS_437005,2026-03-11 00:00:00,6561.79,328.09,0.0,6889.88,UPI
ORDER_00185,CUST_0141,SESS_301634,2026-04-04 00:00:00,11561.91,578.1,0.0,12140.01,PayPal
ORDER_00186,CUST_0141,SESS_620791,2026-04-19 00:00:00,2437.06,121.85,0.0,2558.91,NetBanking
ORDER_00187,CUST_0142,SESS_332191,2026-01-26 00:00:00,689.24,34.46,0.0,723.7,NetBanking
ORDER_00188,CUST_0144,SESS_870987,2026-02-07 00:00:00,4074.53,203.73,0.0,4278.26,PayPal
ORDER_00189,CUST_0145,SESS_403418,2026-03-17 00:00:00,7830.29,391.51,0.0,8221.8,Credit Card
ORDER_00190,CUST_0146,SESS_976128,2026-03-13 00:00:00,1523.02,76.15,0.0,1599.17,PayPal
ORDER_00191,CUST_0146,SESS_933396,2026-04-15 00:00:00,2843.16,142.16,0.0,2985.32,NetBanking
ORDER_00192,CUST_0146,SESS_436718,2026-05-25 00:00:00,4087.71,204.39,0.0,4292.1,PayPal
ORDER_00193,CUST_0147,SESS_565809,2026-01-24 00:00:00,6490.98,324.55,0.0,6815.53,PayPal
ORDER_00194,CUST_0147,SESS_551424,2026-03-21 00:00:00,8570.74,428.54,0.0,8999.28,UPI
ORDER_00195,CUST_0148,SESS_874851,2026-05-03 00:00:00,8596.44,429.82,0.0,9026.26,NetBanking
ORDER_00196,CUST_0149,SESS_386489,2026-04-25 00:00:00,11100.85,555.04,0.0,11655.89,NetBanking
ORDER_00197,CUST_0151,SESS_597079,2026-03-12 00:00:00,2275.16,113.76,0.0,2388.92,PayPal
ORDER_00198,CUST_0155,SESS_150249,2026-03-26 00:00:00,9554.78,406.08,1433.22,8527.64,Credit Card
ORDER_00199,CUST_0155,SESS_405156,2026-05-03 00:00:00,2986.09,149.3,0.0,3135.39,UPI
ORDER_00200,CUST_0155,SESS_429470,2026-04-29 00:00:00,10140.37,507.02,0.0,10647.39,Credit Card
ORDER_00201,CUST_0156,SESS_851009,2026-04-18 00:00:00,9401.7,470.09,0.0,9871.79,Credit Card
ORDER_00202,CUST_0157,SESS_641694,2026-01-30 00:00:00,11893.77,594.69,0.0,12488.46,Credit Card
ORDER_00203,CUST_0158,SESS_609758,2026-02-12 00:00:00,10214.29,434.11,1532.14,9116.26,Credit Card
ORDER_00204,CUST_0159,SESS_178640,2026-02-11 00:00:00,4645.81,232.29,0.0,4878.1,NetBanking
ORDER_00205,CUST_0160,SESS_996931,2026-01-28 00:00:00,2315.88,115.79,0.0,2431.67,PayPal
ORDER_00206,CUST_0160,SESS_235114,2026-03-14 00:00:00,3813.96,162.09,572.09,3403.96,NetBanking
ORDER_00207,CUST_0160,SESS_405315,2026-03-28 00:00:00,502.92,25.15,0.0,528.07,PayPal
ORDER_00208,CUST_0162,SESS_676883,2026-02-03 00:00:00,2572.98,128.65,0.0,2701.63,UPI
ORDER_00209,CUST_0162,SESS_283201,2026-02-15 00:00:00,726.21,30.86,108.93,648.14,UPI
ORDER_00210,CUST_0163,SESS_586276,2026-02-21 00:00:00,10276.83,513.84,0.0,10790.67,Credit Card
ORDER_00211,CUST_0163,SESS_405304,2026-03-21 00:00:00,6039.18,301.96,0.0,6341.14,PayPal
ORDER_00212,CUST_0164,SESS_369961,2026-03-26 00:00:00,2756.71,117.16,413.51,2460.36,Credit Card
ORDER_00213,CUST_0168,SESS_843454,2026-03-18 00:00:00,4725.62,200.84,708.84,4217.62,UPI
ORDER_00214,CUST_0168,SESS_907152,2026-04-08 00:00:00,1430.35,71.52,0.0,1501.87,NetBanking
ORDER_00215,CUST_0169,SESS_668420,2026-02-17 00:00:00,8034.34,401.72,0.0,8436.06,PayPal
ORDER_00216,CUST_0170,SESS_986390,2026-02-20 00:00:00,6985.42,349.27,0.0,7334.69,NetBanking
ORDER_00217,CUST_0170,SESS_146199,2026-04-04 00:00:00,4830.71,241.54,0.0,5072.25,Credit Card
ORDER_00218,CUST_0170,SESS_306683,2026-05-26 00:00:00,5386.61,269.33,0.0,5655.94,UPI
ORDER_00219,CUST_0171,SESS_310461,2026-05-02 00:00:00,6688.41,284.26,1003.26,5969.41,UPI
ORDER_00220,CUST_0172,SESS_566676,2026-03-13 00:00:00,10398.33,519.92,0.0,10918.25,NetBanking
ORDER_00221,CUST_0174,SESS_862959,2026-05-10 00:00:00,11684.48,496.59,1752.67,10428.4,NetBanking
ORDER_00222,CUST_0176,SESS_298313,2026-02-06 00:00:00,2041.37,102.07,0.0,2143.44,UPI
ORDER_00223,CUST_0176,SESS_663607,2026-03-23 00:00:00,8220.04,349.35,1233.01,7336.38,UPI
ORDER_00224,CUST_0179,SESS_673795,2026-03-29 00:00:00,3111.81,155.59,0.0,3267.4,Credit Card
ORDER_00225,CUST_0179,SESS_618841,2026-05-09 00:00:00,2764.27,138.21,0.0,2902.48,Credit Card
ORDER_00226,CUST_0180,SESS_982039,2026-03-28 00:00:00,5944.12,297.21,0.0,6241.33,Credit Card
ORDER_00227,CUST_0180,SESS_370876,2026-05-03 00:00:00,3934.71,196.74,0.0,4131.45,UPI
ORDER_00228,CUST_0181,SESS_992585,2026-03-21 00:00:00,4972.35,248.62,0.0,5220.97,PayPal
ORDER_00229,CUST_0181,SESS_742535,2026-05-06 00:00:00,2071.58,103.58,0.0,2175.16,UPI
ORDER_00230,CUST_0182,SESS_454298,2026-04-24 00:00:00,9258.26,462.91,0.0,9721.17,NetBanking
ORDER_00231,CUST_0183,SESS_295656,2026-02-21 00:00:00,6239.8,311.99,0.0,6551.79,PayPal
ORDER_00232,CUST_0183,SESS_665963,2026-03-21 00:00:00,10152.38,507.62,0.0,10660.0,NetBanking
ORDER_00233,CUST_0183,SESS_843187,2026-04-09 00:00:00,2600.28,110.51,390.04,2320.75,PayPal
ORDER_00234,CUST_0184,SESS_940668,2026-01-10 00:00:00,4176.73,208.84,0.0,4385.57,Credit Card
ORDER_00235,CUST_0184,SESS_236260,2026-02-25 00:00:00,10726.11,536.31,0.0,11262.42,PayPal
ORDER_00236,CUST_0185,SESS_246352,2026-04-25 00:00:00,6191.72,309.59,0.0,6501.31,PayPal
ORDER_00237,CUST_0185,SESS_707609,2026-05-23 00:00:00,8391.57,419.58,0.0,8811.15,NetBanking
ORDER_00238,CUST_0186,SESS_817505,2026-01-30 00:00:00,7069.27,353.46,0.0,7422.73,PayPal
