touchpoint_id,customer_id,channel_id,session_id,touchpoint_timestamp,utm_source,utm_medium,utm_campaign,landing_page,device_category,duration_seconds
TP_000023,CUST_0003,7,SESS_340136,2026-05-14 07:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_9,Mobile,84
TP_000024,CUST_0003,4,SESS_340136,2026-05-15 09:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_7,Mobile,251
TP_000025,CUST_0003,3,SESS_340136,2026-05-10 23:00:00,newsletter,email,Campaign_Promo_Winter,/promo-deals/page_1,Mobile,236
TP_000026,CUST_0004,1,SESS_653067,2026-04-17 01:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_9,Mobile,474
TP_000027,CUST_0004,7,SESS_653067,2026-04-17 22:00:00,affiliatenetwork,referral,Campaign_Promo_Winter,/promo-deals/page_1,Mobile,401
TP_000028,CUST_0004,2,SESS_653067,2026-04-10 06:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_10,Desktop,567
TP_000029,CUST_0004,1,SESS_653067,2026-04-15 05:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_10,Mobile,221
TP_000030,CUST_0006,2,SESS_288522,2026-01-10 21:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_6,Mobile,32
TP_000031,CUST_0007,5,SESS_587431,2026-02-27 11:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_9,Mobile,92
TP_000032,CUST_0007,1,SESS_234666,2026-04-27 22:00:00,googleads,paidsearch,Campaign_Promo_Winter,/promo-deals/page_1,Mobile,60
TP_000033,CUST_0007,7,SESS_242534,2026-04-30 15:00:00,affiliatenetwork,referral,Campaign_Promo_Winter,/promo-deals/page_10,Desktop,152
TP_000034,CUST_0007,5,SESS_242534,2026-05-07 04:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_4,Tablet,424
TP_000035,CUST_0007,5,SESS_242534,2026-05-11 07:00:00,organicsearch,seo,Campaign_Promo_Brand,/promo-deals/page_5,Mobile,110
TP_000036,CUST_0008,5,SESS_660210,2026-01-30 09:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,559
TP_000037,CUST_0008,1,SESS_660210,2026-02-08 16:00:00,googleads,paidsearch,Campaign_Promo_Brand,/promo-deals/page_10,Mobile,448
TP_000038,CUST_0008,4,SESS_660210,2026-02-05 10:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_6,Desktop,226
TP_000039,CUST_0008,2,SESS_332307,2026-03-11 11:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_8,Desktop,305
TP_000040,CUST_0008,4,SESS_332307,2026-03-03 16:00:00,directtraffic,direct,Campaign_Promo_Brand,/promo-deals/page_1,Mobile,590
TP_000041,CUST_0008,6,SESS_332307,2026-03-06 14:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_10,Desktop,447
TP_000042,CUST_0008,2,SESS_332307,2026-03-06 20:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_4,Mobile,21
TP_000043,CUST_0008,2,SESS_332307,2026-03-10 17:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_1,Mobile,214
TP_000044,CUST_0009,7,SESS_378095,2026-01-06 18:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_7,Desktop,160
TP_000045,CUST_0009,1,SESS_378095,2026-01-18 13:00:00,googleads,paidsearch,Campaign_Promo_Brand,/promo-deals/page_3,Mobile,134
TP_000046,CUST_0010,3,SESS_696145,2026-02-12 23:00:00,newsletter,email,Campaign_Promo_Winter,/promo-deals/page_4,Mobile,523
TP_000047,CUST_0010,6,SESS_696145,2026-02-08 02:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_5,Tablet,449
TP_000048,CUST_0010,1,SESS_961170,2026-03-23 23:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_10,Mobile,436
TP_000049,CUST_0010,7,SESS_961170,2026-03-21 06:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_5,Desktop,96
TP_000050,CUST_0011,1,SESS_247296,2025-12-30 05:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_2,Mobile,475
TP_000051,CUST_0011,2,SESS_247296,2025-12-27 15:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_2,Desktop,314
TP_000052,CUST_0011,4,SESS_153224,2026-01-27 09:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_8,Mobile,277
TP_000053,CUST_0011,1,SESS_153224,2026-01-26 12:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_7,Mobile,183
TP_000054,CUST_0011,5,SESS_153224,2026-01-21 11:00:00,organicsearch,seo,Campaign_Promo_Summer,/promo-deals/page_2,Mobile,357
TP_000055,CUST_0011,7,SESS_153224,2026-01-27 02:00:00,affiliatenetwork,referral,Campaign_Promo_Winter,/promo-deals/page_2,Mobile,257
TP_000056,CUST_0011,4,SESS_153224,2026-01-30 11:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_8,Mobile,330
TP_000057,CUST_0013,1,SESS_842869,2026-02-02 07:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_4,Desktop,462
TP_000058,CUST_0013,5,SESS_842869,2026-01-27 17:00:00,organicsearch,seo,Campaign_Promo_Brand,/promo-deals/page_8,Mobile,480
TP_000059,CUST_0013,2,SESS_791403,2026-03-20 15:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_4,Desktop,142
TP_000060,CUST_0013,2,SESS_791403,2026-03-13 16:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,88
TP_000061,CUST_0013,7,SESS_986539,2026-05-09 08:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_7,Mobile,191
TP_000062,CUST_0013,6,SESS_986539,2026-05-10 15:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_7,Mobile,487
TP_000063,CUST_0013,4,SESS_986539,2026-05-08 00:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_6,Mobile,103
TP_000064,CUST_0013,2,SESS_986539,2026-05-06 20:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_9,Desktop,334
TP_000065,CUST_0014,2,SESS_458344,2026-02-10 19:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_7,Mobile,403
TP_000066,CUST_0014,7,SESS_458344,2026-02-04 11:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_8,Mobile,536
TP_000067,CUST_0014,2,SESS_458344,2026-02-13 10:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_3,Mobile,418
TP_000068,CUST_0014,3,SESS_458344,2026-02-02 19:00:00,newsletter,email,Campaign_Promo_Summer,/promo-deals/page_1,Mobile,320
TP_000069,CUST_0014,4,SESS_458344,2026-02-02 23:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_5,Mobile,68
TP_000070,CUST_0015,2,SESS_387333,2026-04-23 14:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_10,Desktop,315
TP_000071,CUST_0015,6,SESS_387333,2026-04-22 19:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_2,Mobile,385
TP_000072,CUST_0015,1,SESS_132363,2026-04-30 18:00:00,googleads,paidsearch,Campaign_Promo_Brand,/promo-deals/page_1,Tablet,525
TP_000073,CUST_0016,6,SESS_637748,2026-03-26 22:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_9,Mobile,485
TP_000074,CUST_0018,7,SESS_499955,2026-02-05 16:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_2,Mobile,437
TP_000075,CUST_0018,7,SESS_499955,2026-02-15 06:00:00,affiliatenetwork,referral,Campaign_Promo_Summer,/promo-deals/page_1,Tablet,400
TP_000076,CUST_0018,7,SESS_499955,2026-02-09 01:00:00,affiliatenetwork,referral,Campaign_Promo_Winter,/promo-deals/page_10,Mobile,126
TP_000077,CUST_0018,6,SESS_191620,2026-02-27 23:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_8,Mobile,202
TP_000078,CUST_0018,7,SESS_191620,2026-02-27 13:00:00,affiliatenetwork,referral,Campaign_Promo_Summer,/promo-deals/page_1,Desktop,232
TP_000079,CUST_0018,4,SESS_191620,2026-03-12 23:00:00,directtraffic,direct,Campaign_Promo_Brand,/promo-deals/page_9,Desktop,528
TP_000080,CUST_0018,6,SESS_191620,2026-03-08 09:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_3,Mobile,484
TP_000081,CUST_0018,1,SESS_191620,2026-03-03 16:00:00,googleads,paidsearch,Campaign_Promo_Winter,/promo-deals/page_8,Desktop,547
TP_000082,CUST_0018,3,SESS_908070,2026-04-06 09:00:00,newsletter,email,Campaign_Promo_Retarget,/promo-deals/page_2,Mobile,23
TP_000083,CUST_0018,7,SESS_908070,2026-04-19 03:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_9,Desktop,33
TP_000084,CUST_0019,4,SESS_110784,2026-03-15 12:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,31
TP_000085,CUST_0019,7,SESS_435076,2026-04-30 14:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_3,Mobile,198
TP_000086,CUST_0019,6,SESS_435076,2026-04-24 18:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_7,Desktop,165
TP_000087,CUST_0019,4,SESS_435076,2026-05-06 10:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_1,Mobile,377
TP_000088,CUST_0021,5,SESS_866844,2026-03-08 21:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_8,Desktop,32
TP_000089,CUST_0021,4,SESS_866844,2026-03-11 20:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_8,Mobile,160
TP_000090,CUST_0021,6,SESS_866844,2026-03-14 10:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_8,Desktop,135
TP_000091,CUST_0021,5,SESS_866844,2026-03-21 01:00:00,organicsearch,seo,Campaign_Promo_Summer,/promo-deals/page_5,Mobile,556
TP_000092,CUST_0021,5,SESS_866844,2026-03-18 18:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_4,Desktop,415
TP_000093,CUST_0022,4,SESS_730241,2026-02-28 13:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_7,Mobile,267
TP_000094,CUST_0022,7,SESS_730241,2026-02-28 12:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_10,Tablet,90
TP_000095,CUST_0022,7,SESS_730241,2026-03-01 20:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_2,Mobile,306
TP_000096,CUST_0024,4,SESS_693361,2026-01-12 03:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_4,Desktop,196
TP_000097,CUST_0024,2,SESS_693361,2026-01-12 05:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_4,Tablet,260
TP_000098,CUST_0024,1,SESS_430705,2026-03-22 05:00:00,googleads,paidsearch,Campaign_Promo_Winter,/promo-deals/page_7,Mobile,250
TP_000099,CUST_0025,2,SESS_482806,2026-01-26 15:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_9,Mobile,140
TP_000100,CUST_0025,4,SESS_482806,2026-01-31 01:00:00,directtraffic,direct,Campaign_Promo_Brand,/promo-deals/page_5,Desktop,476
TP_000101,CUST_0025,4,SESS_482806,2026-01-30 13:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_6,Desktop,264
TP_000102,CUST_0025,2,SESS_482806,2026-02-03 15:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_9,Desktop,269
TP_000103,CUST_0025,6,SESS_208482,2026-02-06 04:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,330
TP_000104,CUST_0025,5,SESS_208482,2026-02-09 09:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_10,Desktop,534
TP_000105,CUST_0025,3,SESS_208482,2026-02-17 12:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_8,Mobile,441
TP_000106,CUST_0025,4,SESS_984015,2026-04-06 08:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_3,Desktop,439
TP_000107,CUST_0026,6,SESS_285306,2026-02-01 03:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_9,Tablet,180
TP_000108,CUST_0026,6,SESS_285306,2026-01-30 04:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_7,Mobile,235
TP_000109,CUST_0026,3,SESS_285306,2026-02-05 18:00:00,newsletter,email,Campaign_Promo_Retarget,/promo-deals/page_1,Mobile,584
TP_000110,CUST_0026,5,SESS_792960,2026-03-16 05:00:00,organicsearch,seo,Campaign_Promo_Summer,/promo-deals/page_9,Mobile,65
TP_000111,CUST_0026,6,SESS_792960,2026-03-07 13:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_10,Desktop,320
TP_000112,CUST_0026,5,SESS_792960,2026-03-12 19:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_8,Desktop,508
TP_000113,CUST_0027,5,SESS_541726,2026-04-09 01:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_10,Desktop,273
TP_000114,CUST_0027,6,SESS_541726,2026-04-12 08:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_1,Mobile,238
TP_000115,CUST_0027,7,SESS_541726,2026-04-07 18:00:00,affiliatenetwork,referral,Campaign_Promo_Summer,/promo-deals/page_9,Mobile,283
TP_000116,CUST_0027,6,SESS_541726,2026-04-12 21:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_3,Mobile,486
TP_000117,CUST_0027,2,SESS_541726,2026-04-16 23:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_2,Mobile,165
TP_000118,CUST_0027,6,SESS_642439,2026-05-01 13:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_8,Desktop,256
TP_000119,CUST_0027,1,SESS_642439,2026-05-07 20:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_9,Desktop,600
TP_000120,CUST_0027,6,SESS_642439,2026-04-29 16:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_5,Mobile,36
TP_000121,CUST_0027,5,SESS_642439,2026-05-05 20:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_4,Mobile,154
TP_000122,CUST_0028,4,SESS_217189,2026-01-11 06:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_6,Desktop,420
TP_000123,CUST_0028,7,SESS_217189,2026-01-15 05:00:00,affiliatenetwork,referral,Campaign_Promo_Winter,/promo-deals/page_9,Mobile,205
TP_000124,CUST_0028,5,SESS_117777,2026-03-14 14:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_1,Desktop,203
TP_000125,CUST_0028,1,SESS_117777,2026-03-16 17:00:00,googleads,paidsearch,Campaign_Promo_Winter,/promo-deals/page_10,Mobile,244
TP_000126,CUST_0028,5,SESS_117777,2026-03-14 08:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_1,Tablet,328
TP_000127,CUST_0028,2,SESS_117777,2026-03-17 11:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,286
TP_000128,CUST_0030,6,SESS_602450,2026-03-18 20:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_1,Desktop,542
TP_000129,CUST_0030,6,SESS_602450,2026-03-08 15:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_5,Desktop,50
TP_000130,CUST_0030,5,SESS_602450,2026-03-16 10:00:00,organicsearch,seo,Campaign_Promo_Winter,/promo-deals/page_4,Mobile,570
TP_000131,CUST_0030,7,SESS_602450,2026-03-13 23:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_7,Tablet,107
TP_000132,CUST_0031,2,SESS_241086,2026-03-09 03:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_2,Desktop,443
TP_000133,CUST_0031,2,SESS_241086,2026-03-22 23:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_8,Desktop,347
TP_000134,CUST_0031,3,SESS_241086,2026-03-08 22:00:00,newsletter,email,Campaign_Promo_Winter,/promo-deals/page_8,Mobile,340
TP_000135,CUST_0033,6,SESS_141883,2026-02-27 15:00:00,linkedinads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_9,Mobile,398
TP_000136,CUST_0036,6,SESS_793546,2026-02-07 05:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_10,Mobile,390
TP_000137,CUST_0036,2,SESS_793546,2026-02-02 16:00:00,facebookads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_9,Mobile,295
TP_000138,CUST_0036,1,SESS_793546,2026-01-30 17:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_1,Desktop,342
TP_000139,CUST_0036,2,SESS_503657,2026-02-28 19:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_1,Mobile,333
TP_000140,CUST_0036,5,SESS_503657,2026-03-05 02:00:00,organicsearch,seo,Campaign_Promo_Brand,/promo-deals/page_9,Desktop,241
TP_000141,CUST_0036,2,SESS_503657,2026-03-05 03:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_9,Mobile,333
TP_000142,CUST_0036,7,SESS_184180,2026-04-04 14:00:00,affiliatenetwork,referral,Campaign_Promo_Retarget,/promo-deals/page_3,Mobile,134
TP_000143,CUST_0037,6,SESS_509549,2026-04-19 01:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_7,Desktop,490
TP_000144,CUST_0037,5,SESS_509549,2026-04-21 01:00:00,organicsearch,seo,Campaign_Promo_Retarget,/promo-deals/page_5,Mobile,221
TP_000145,CUST_0038,6,SESS_789916,2026-02-01 02:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_6,Tablet,47
TP_000146,CUST_0038,3,SESS_789916,2026-01-30 07:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_1,Mobile,521
TP_000147,CUST_0038,1,SESS_789916,2026-01-30 05:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_6,Desktop,478
TP_000148,CUST_0039,2,SESS_372585,2026-02-04 02:00:00,facebookads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_7,Mobile,61
TP_000149,CUST_0039,6,SESS_372585,2026-02-11 10:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_8,Desktop,525
TP_000150,CUST_0039,7,SESS_372585,2026-01-29 12:00:00,affiliatenetwork,referral,Campaign_Promo_Brand,/promo-deals/page_8,Mobile,563
TP_000151,CUST_0039,2,SESS_372585,2026-02-03 16:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_6,Mobile,467
TP_000152,CUST_0040,6,SESS_118278,2026-03-21 22:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_6,Desktop,16
TP_000153,CUST_0040,2,SESS_118278,2026-03-25 15:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_2,Mobile,248
TP_000154,CUST_0040,6,SESS_996643,2026-04-20 18:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_3,Tablet,73
TP_000155,CUST_0040,6,SESS_996643,2026-04-24 15:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_3,Mobile,593
TP_000156,CUST_0040,4,SESS_996643,2026-04-25 13:00:00,directtraffic,direct,Campaign_Promo_Summer,/promo-deals/page_8,Mobile,115
TP_000157,CUST_0040,3,SESS_996643,2026-04-23 17:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_3,Mobile,545
TP_000158,CUST_0040,3,SESS_996643,2026-04-20 23:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_4,Desktop,211
TP_000159,CUST_0041,1,SESS_955509,2026-03-20 14:00:00,googleads,paidsearch,Campaign_Promo_Retarget,/promo-deals/page_2,Mobile,116
TP_000160,CUST_0041,3,SESS_955509,2026-03-22 21:00:00,newsletter,email,Campaign_Promo_Winter,/promo-deals/page_9,Tablet,111
TP_000161,CUST_0041,4,SESS_760961,2026-04-09 18:00:00,directtraffic,direct,Campaign_Promo_Brand,/promo-deals/page_4,Desktop,453
TP_000162,CUST_0041,1,SESS_760961,2026-04-08 01:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_10,Desktop,278
TP_000163,CUST_0042,3,SESS_315774,2026-04-03 02:00:00,newsletter,email,Campaign_Promo_Retarget,/promo-deals/page_1,Mobile,63
TP_000164,CUST_0042,4,SESS_315774,2026-04-02 17:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_5,Mobile,83
TP_000165,CUST_0042,1,SESS_315774,2026-04-09 22:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_7,Mobile,439
TP_000166,CUST_0042,5,SESS_315774,2026-03-31 11:00:00,organicsearch,seo,Campaign_Promo_Brand,/promo-deals/page_8,Mobile,401
TP_000167,CUST_0042,1,SESS_782656,2026-04-17 21:00:00,googleads,paidsearch,Campaign_Promo_Winter,/promo-deals/page_4,Desktop,173
TP_000168,CUST_0042,6,SESS_782656,2026-04-22 18:00:00,linkedinads,paidsocial,Campaign_Promo_Retarget,/promo-deals/page_9,Desktop,287
TP_000169,CUST_0042,1,SESS_782656,2026-04-16 17:00:00,googleads,paidsearch,Campaign_Promo_Summer,/promo-deals/page_8,Mobile,449
TP_000170,CUST_0042,1,SESS_782656,2026-04-20 16:00:00,googleads,paidsearch,Campaign_Promo_Brand,/promo-deals/page_1,Desktop,112
TP_000171,CUST_0043,4,SESS_508587,2026-02-13 19:00:00,directtraffic,direct,Campaign_Promo_Brand,/promo-deals/page_6,Mobile,307
TP_000172,CUST_0043,4,SESS_508587,2026-02-03 19:00:00,directtraffic,direct,Campaign_Promo_Winter,/promo-deals/page_8,Mobile,231
TP_000173,CUST_0043,4,SESS_508587,2026-02-14 20:00:00,directtraffic,direct,Campaign_Promo_Retarget,/promo-deals/page_9,Mobile,93
TP_000174,CUST_0043,7,SESS_799919,2026-02-27 23:00:00,affiliatenetwork,referral,Campaign_Promo_Summer,/promo-deals/page_2,Mobile,473
TP_000175,CUST_0043,6,SESS_799919,2026-02-24 08:00:00,linkedinads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_1,Tablet,71
TP_000176,CUST_0043,5,SESS_799919,2026-03-04 06:00:00,organicsearch,seo,Campaign_Promo_Brand,/promo-deals/page_4,Mobile,157
TP_000177,CUST_0044,6,SESS_937084,2026-03-13 06:00:00,linkedinads,paidsocial,Campaign_Promo_Brand,/promo-deals/page_9,Mobile,523
TP_000178,CUST_0045,2,SESS_599791,2026-04-18 19:00:00,facebookads,paidsocial,Campaign_Promo_Winter,/promo-deals/page_3,Mobile,131
TP_000179,CUST_0045,3,SESS_599791,2026-04-26 08:00:00,newsletter,email,Campaign_Promo_Brand,/promo-deals/page_1,Mobile,21
TP_000180,CUST_0045,2,SESS_599791,2026-04-27 17:00:00,facebookads,paidsocial,Campaign_Promo_Summer,/promo-deals/page_6,Mobile,346
